序号,采购人,合同名称,分类,理由
2000,中国电子口岸数据中心,采购合同,合规能力,增强海关数据处理
2001,国家税务总局,吉林省吉林市国税局30台台式计算机采购合同,提取能力,增强税收征管能力
2002,中国疾病预防控制中心传染病预防控制所,供货合同,协调能力,组织疾病预防控制
2003,庆阳市公安局,庆阳市公安局"043工程"建设政府采购购销合同,合规能力,增强公安执法能力
2004,国家税务总局,吉林省通化市国家税务局2015年9月扫描仪协议供货,提取能力,增强税收征管能力
2005,国家税务总局,国税系统空调类产品协议供货合同,提取能力,增强税收征管能力
2006,中国电子口岸数据中心,采购合同,合规能力,增强海关数据处理
2007,福州海关机关服务中心,福州海关机关大院物业管理招标项目合同,合规能力,增强海关查验能力
2008,民航总医院,光学生物测量仪,协调能力,组织公共医疗服务
2009,国家税务总局,国税系统IT类产品协议供货合同,提取能力,增强税收征管能力
2010,酒泉市公安局,酒泉市公安局安检设备采购项目,合规能力,增强公安执法能力
2011,中央国家机关政府采购中心,台式计算机,协调能力,组织政务服务保障
2012,岷县人民法院,岷县人民法院办公设备采购项目供货合同,合规能力,增强司法审判能力
2013,国家税务总局,吉林省吉林市国税局针式打印机采购合同,提取能力,增强税收征管能力
2014,中国地质科学院地球物理地球化学勘查研究所,检波器串采购合同,提取能力,采集地质调查数据
2015,合浦县国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
2016,国家外汇管理局,国家外汇管理局更新入侵检测设备采购项目,合规能力,增强外汇监管能力
2017,安徽省科学技术研究院,安徽省科学技术研究院仪器共用网升级改造及天然产物仪器采购第2包,协调能力,组织科学技术研究
2018,中国银行业监督管理委员会泰州监管分局,中国人民财产保险股份有限公司机动车保险单,合规能力,增强金融监管能力
2019,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
2020,中国电子口岸数据中心,采购合同,合规能力,增强海关数据处理
2021,无供应商,兴义一中录播教室购销合同,协调能力,组织基础教育服务
2022,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
2023,民航总医院,高清关节镜系统及输尿管镜系统,协调能力,组织公共医疗服务
2024,中国电子口岸数据中心,采购合同,合规能力,增强海关数据处理
2025,国家地质实验测试中心,国家地质实验测试中心政府采购网上竞价合同,提取能力,采集地质测试数据
2026,吉林省国家税务局,白山市江源区国家税务局自助办税终端设备采购合同,提取能力,增强税收征管能力
2027,来宾市国家税务局,专用设备采购合同书,提取能力,增强税收征管能力
2028,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
2029,图们市国家税务局,吉林省延边州图们市国家税务局便携式计算机采购,提取能力,增强税收征管能力
2030,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
2031,中国电影科学技术研究所,中国电影科学技术研究所技术项目实施合同,协调能力,组织电影科技研究
2032,中国银行业监督管理委员会泰州监管分局,中国人民财产保险股份有限公司机动车保险单,合规能力,增强金融监管能力
2033,中央国家机关政府采购中心,中央单位批量采购简易合同,协调能力,组织政务服务保障
2034,国家税务总局,吉林省通化市国家税务局机关2015年9月交换机协议供货,提取能力,增强税收征管能力
2035,国家外汇管理局,机房综合布线调整项目合同,合规能力,增强外汇监管能力
2036,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
2037,国家税务总局,国税系统IT类产品协议供货合同,提取能力,增强税收征管能力
2038,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
2039,岷县人民法院,岷县人民法院办公设备采购项目供货合同,合规能力,增强司法审判能力
2040,国家税务总局,国税系统批量集中采购,提取能力,增强税收征管能力
2041,福建省连城县国家税务局,国税系统IT类产品协议供货合同,提取能力,增强税收征管能力
2042,图们市国家税务局,吉林省延边州图们市国家税务局便携式计算机采购,提取能力,增强税收征管能力
2043,来宾市国家税务局,物业管理服务采购合同书,提取能力,增强税收征管能力
2044,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
2045,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
2046,国家税务总局,吉林省通化市国家税务局机关2015年9月机柜协议供货,提取能力,增强税收征管能力
2047,吉林省白山市经济开发区国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
2048,康县农村能源与农业生态环境保护工作站,康县2014年退耕还林农村能源建设项目（第一包）,协调能力,组织农村能源服务
2049,肃州区农牧局,酒泉市肃州区国家现代农业示范区2012年旱涝保收标准农田示范项目节余资金建设工程,协调能力,组织农业基础设施
2050,国家税务总局,国税系统批量采购合同,提取能力,增强税收征管能力
2051,中华人民共和国皇岗海关,中华人民共和国皇岗海关2015年9月多功能一体机采购合同,合规能力,增强海关查验能力
2052,中央人民广播电台,中央人民广播电台2015年数字版权综合管理系统运行维护项目,协调能力,组织广播公共服务
2053,松原市国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
2054,中华人民共和国皇岗海关,中华人民共和国皇岗海关2015年二季度柜式空调采购合同,合规能力,增强海关查验能力
2055,中国银行业监督管理委员会荆门监管分局,车辆保险合同,合规能力,增强金融监管能力
2056,华北科技学院,华北科技学院数字化模拟法庭建设政府采购项目,协调能力,组织高等教育服务
2057,淮河水利委员会沂沭泗水利管理局,淮河水利委员会沂沭泗水利管理局数码相机采购项目,协调能力,组织水利公共服务
2058,中华人民共和国皇岗海关,中华人民共和国皇岗海关2015年第二季度壁挂空调采购合同,合规能力,增强海关查验能力
2059,国家基础地理信息中心,国家基础地理信息中心"天地图"云服务平台升级扩容项目合同,提取能力,采集地理信息数据
2060,中央人民广播电台,中央人民广播电台2015年技术制作中心进口音频设备采购项目,协调能力,组织广播公共服务
2061,国家海洋局天津海水淡化与综合利用研究所,复合反渗透制膜装置购销合同,协调能力,组织海洋科学研究
2062,国家新闻出版广电总局监管中心,调度指挥传输链路传输合同,合规能力,增强广电监管能力
2063,中华人民共和国皇岗海关,中华人民共和国皇岗海关2015年9月客车租赁合同,合规能力,增强海关查验能力
2064,中央人民广播电台,中央人民广播电台中国广播网CDN服务项目,协调能力,组织广播公共服务
2065,国家基础地理信息中心,国家基础地理信息中心新装10KV变电工程采购合同,提取能力,采集地理信息数据
2066,中央人民广播电台,中央人民广播电台海事卫星电话采购项目,协调能力,组织广播公共服务
2067,中央人民广播电台,中央人民广播电台中国广播网硬件维保项目,协调能力,组织广播公共服务
2068,国家基础地理信息中心,地理国情普查与监测云存储平台集成合同,提取能力,采集地理国情数据
2069,中央人民广播电台,中央人民广播电台国家应急广播社区网站2015带宽、CDN服务及2015软件运维项目,协调能力,组织应急广播服务
2070,国家体育总局体育彩票管理中心,竞猜型彩票电视节目执行及宣传推广服务协议,协调能力,组织体育彩票服务
2071,中央人民广播电台,中央人民广播电台中国广播网第二数据中心服务项目,协调能力,组织广播公共服务
2072,华北科技学院,华北科技学院数字化校园建设(四期)应用系统建设政府采购项目,协调能力,组织高等教育服务
2073,国家税务总局,新疆国税局针式打印机批量采购合同,提取能力,增强税收征管能力
2074,海关总署物资装备采购中心,海关缉私部门信息标准建设及服务采购项目合同书,合规能力,增强海关缉私能力
2075,北京外国语大学,北京市北外附属外国语学校学生公寓床上用品购置项目,协调能力,组织高等教育服务
2076,国家海洋局天津海水淡化与综合利用研究所,光学轮廓仪技术协议,协调能力,组织海洋科学研究
2077,中国银行业监督管理委员会荆门监管分局,车辆保险合同,合规能力,增强金融监管能力
2078,庆阳市委党校,建设工程施工合同,协调能力,组织干部培训服务
2079,中央人民广播电台,中央人民广播电台芦山地震进口设备采购项目,协调能力,组织应急广播服务
2080,中央人民广播电台,中央人民广播电台2015年音频播出延时器、话筒等专业设备采购项目,协调能力,组织广播公共服务
2081,中华人民共和国皇岗海关,中华人民共和国皇岗海关2015年4月份客车租赁合同,合规能力,增强海关查验能力
2082,中央人民广播电台,中央人民广播电台综合业务楼七、十二层办公用房维修改造,协调能力,组织广播公共服务
2083,水利部产品质量标准研究所,综合楼和附楼内墙的修补粉刷及顶棚的维修合同,协调能力,组织水利科学研究
2084,甘肃省三岔木材检查站,庆阳市政府采购合同,合规能力,增强林业执法能力
2085,华北科技学院,华北科技学院教学设备购置政府采购项目,协调能力,组织高等教育服务
2086,华北科技学院,华北科技学院南校区教学楼修缮改造,协调能力,组织高等教育服务
2087,河南省郑州市国家税务局,河南省郑州市国家税务局机关打印机采购合同,提取能力,增强税收征管能力
2088,华北科技学院,华北科技学院南校区教学楼修缮改造监理项目,协调能力,组织高等教育服务
2089,国家新闻出版广电总局监管中心,国家新闻出版广电总局监管中心有线监测处维护服务项目第三包,合规能力,增强广电监管能力
2090,无供应商,遵义市第四人民医院采购10KV配电工程改造升级项目,协调能力,组织公共医疗服务
2091,淮河水利委员会沂沭泗水利管理局,淮河水利委员会沂沭泗水利管理局调查取证执法能力建设装备采购项目,合规能力,增强水利执法能力
2092,中央人民广播电台,中央人民广播电台中国广播网稿件抓取清洗系统维保项目,协调能力,组织广播公共服务
2093,国家海洋局天津海水淡化与综合利用研究所,介稳态平衡模拟系统技术协议,协调能力,组织海洋科学研究
2094,中华人民共和国皇岗海关,中华人民共和国皇岗海关2015年8月客车租赁合同,合规能力,增强海关查验能力
2095,国家海洋局天津海水淡化与综合利用研究所,聚合物加工测试仪技术协议,协调能力,组织海洋科学研究
2096,中国银行业监督管理委员会荆门监管分局,中央国家机关2015年便携式计算机批量集中采购项目-第四期（4）,合规能力,增强金融监管能力
2097,国家税务总局,河南省郑州市国家税务局机关台式计算机采购合同,提取能力,增强税收征管能力
2098,中央人民广播电台,中央人民广播电台2015年技术制作中心进口音频设备采购项目,协调能力,组织广播公共服务
2099,中华人民共和国皇岗海关,中华人民共和国皇岗海关生活区（含办公区）2015-2018年物业委托管理合同,合规能力,增强海关查验能力
2100,中央人民广播电台,中央人民广播电台央广广播电视网络台采编播系统扩容项目用户中心系统部分项目,协调能力,组织广播公共服务
2101,华北科技学院,华北科技学院2015-2017学年教材供应商资格采购项目,协调能力,组织高等教育服务
2102,中央人民广播电台,中央人民广播电台2015年技术制作中心进口音频设备采购项目,协调能力,组织广播公共服务
2103,中华人民共和国皇岗海关,中华人民共和国皇岗海关2015年第二季度音视频会议设备采购合同,合规能力,增强海关查验能力
2104,临泽县人民医院,临泽县人民医院住院部楼建设项目工程监理,协调能力,组织公共医疗服务
2105,中华人民共和国皇岗海关,中华人民共和国皇岗海关2015年一季度复印件采购合同,合规能力,增强海关查验能力
2106,中央国家机关政府采购中心,中华人民共和国皇岗海关2015年第一季度客车租赁合同,合规能力,增强海关查验能力
2107,中央人民广播电台,中央人民广播电台国家应急广播社区网站2015带宽、CDN服务及2015软件运维项目,协调能力,组织应急广播服务
2108,中国特种设备检测研究院,A：紫外可见分光光度计,合规能力,增强特种设备监管
2109,中央人民广播电台,中央人民广播电台国家应急广播应急信息智能语音播报自有语音库建设项目,协调能力,组织应急广播服务
2110,中华人民共和国皇岗海关,中华人民共和国皇岗海关2015年4月多功能一体机采购合同,合规能力,增强海关查验能力
2111,中央人民广播电台,中央人民广播电台中国广播网第一数据中心带宽和机柜租用项目,协调能力,组织广播公共服务
2112,中华人民共和国皇岗海关,中华人民共和国皇岗海关2015-2017年办公区域清洁服务合同,合规能力,增强海关查验能力
2113,中华人民共和国皇岗海关,中华人民共和国皇岗海关2015年第三季度1P壁挂空调采购合同,合规能力,增强海关查验能力
2114,无供应商,2015农村低保季节性缺粮采购合同,协调能力,组织社会救助服务
2115,国家新闻出版广电总局监管中心,预警适配系统第一包应用支撑系统,合规能力,增强广电监管能力
2116,中央人民广播电台,中央人民广播电台收听率数据及服务购买项目,协调能力,组织广播公共服务
2117,潼关县国家税务局,陕西省渭南市潼关县国税局城区税务分局办公用房维修项目合同,提取能力,增强税收征管能力
2118,华北科技学院,华北科技学院校园"一卡通"(二期)建设政府采购项目,协调能力,组织高等教育服务
2119,中央国家机关政府采购中心,中华人民共和国皇岗海关第三季度音视频会议设备采购合同,合规能力,增强海关查验能力
2120,淮河水利委员会沂沭泗水利管理局,淮河水利委员会沂沭泗水利管理局调查取证执法装备采购项目结果公告,合规能力,增强水利执法能力
2121,中国银行业监督管理委员会荆门监管分局,中央单位批量集中采购简易合同,合规能力,增强金融监管能力
2122,平凉市中级人民法院,平凉市中级人民法院办案用便携式电脑采购项目,合规能力,增强司法审判能力
2123,中华人民共和国皇岗海关,中华人民共和国皇岗海关2015年第三季度2P壁挂空调采购合同,合规能力,增强海关查验能力
2124,国家海洋局天津海水淡化与综合利用研究所,系统优化测试仪技术协议,协调能力,组织海洋科学研究
2125,中央人民广播电台,中央人民广播电台音乐厅空调系统改造项目,协调能力,组织广播公共服务
2126,国家新闻出版广电总局监管中心,国家新闻出版广电总局监管中心预警信息调度控制自动适配系统采购第二包,合规能力,增强广电监管能力
2127,中国测绘科学研究院和四川省遥感信息测绘院,SAR测图监测无人机系统,提取能力,采集测绘遥感数据
2128,西藏区昌都市贡觉县国家税务局,建设工程施工合同,提取能力,增强税收征管能力
