序号,采购人,合同名称,分类,理由
3000,故宫博物院,故宫博物院北院区2015年-2017年供暖燃油采购项目合同,协调能力,组织文化遗产保护
3001,中国极地研究中心,中国极地研究中心工程打印机采购项目,协调能力,组织科学研究
3002,国家税务总局,湖北省襄阳市襄城区国家税务局打印机采购,提取能力,增强税收办公能力
3003,安徽省农业科学院水稻研究所,安徽省农业科学院水稻研究所仪器设备第5包,协调能力,组织农业科研
3004,国家税务总局,空调采购,提取能力,增强税收办公能力
3005,故宫博物院,故宫博物院图书馆补刻《承华事略》书版磋商采购项目合同,协调能力,组织文化遗产保护
3006,农安县国家税务局,激光打印机,提取能力,增强税收办公能力
3007,国家税务总局,国税系统IT类产品协议供货合同,提取能力,增强税收办公能力
3008,青海省西宁东川工业园区国家税务局,青海省西宁东川工业园区国家税务局电视机采购项目,提取能力,增强税收办公能力
3009,国家税务总局,湖北省黄石市铁山区国家税务局2015年二季度激光打印机批量集中采购合同,提取能力,增强税收办公能力
3010,淮河水利委员会水文局（信息中心）,水文监测系统淮河流域水文应急保障系统采购,协调能力,组织水利管理
3011,新罗区国家税务局,国税系统IT类产品协议供货合同,提取能力,增强税收办公能力
3012,通州市国家税务局,国税系统批量集中采购合同,提取能力,增强税收办公能力
3013,湖北省十堰市国家税务局,湖北省十堰市国税局机关2季度5台笔记本采购合同,提取能力,增强税收办公能力
3014,宁波市财政税务学校,宁波市财政税务学校车辆保险合同,提取能力,增强财税培训能力
3015,宜昌市国家税务局,湖北省宜昌市国税局三季度台式计算机采购合同,提取能力,增强税收办公能力
3016,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收办公能力
3017,白城市国家税务局,国税系统批量集中采购合同,提取能力,增强税收办公能力
3018,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收办公能力
3019,中央国家机关政府采购中心,中央单位批量集中采购简易合同,协调能力,组织政府采购服务
3020,国家税务总局,国税系统IT类产品协议供货合同,提取能力,增强税收办公能力
3021,文化部艺术发展中心,中央国家机关汽车维修验收单,协调能力,组织公共文化服务
3022,吉林省白城市大安市国家税务局,吉林省白城市大安市国家税务局-便携式计算机,提取能力,增强税收办公能力
3023,国家税务总局,激光打印机,提取能力,增强税收办公能力
