序号,采购人,合同名称,分类,理由
6600,中国科学院动物研究所,购脑立体定位微量注射系统合同,协调能力,支持科研机构
6601,金昌市金川区水务局,金昌市金川区水务局2014年第二批2015年第一批一事一议项目,协调能力,组织水务服务
6602,水利部水利信息中心,水利部水利信息中心水利异地备份中心云架构容灾备份基础平台建设,协调能力,支持水利信息化
6603,国家海洋局南海工程勘察中心,抛弃式温盐深仪,协调能力,组织海洋调查服务
6604,中央国家机关政府采购中心,中央国家机关政府采购网上竞价合同,协调能力,政府采购服务
6605,中国土地勘测规划院,中国土地勘测规划院外协项目合同书遥感监测任务13分包,协调能力,组织土地测绘服务
6606,中国科学院广州生物医药与健康研究院,车辆租赁服务招标项目合同,协调能力,支持科研机构运营
6607,安徽省卫生和计划生育委员会,安徽省卫计委2014年冷链设备采购第2包,协调能力,提供公共卫生服务
6608,青岛海洋地质研究所,青岛海洋地质研究所图形工作站采购,协调能力,支持海洋科研
6609,国家海洋局第二海洋研究所,海声学内波探测系统合同,协调能力,组织海洋科研
6610,中国地质科学院岩溶地质研究所,打印机设备采购供货合同,协调能力,支持地质科研
6611,国家海洋局南通海洋环境监测中心站,生物显微镜合同书,协调能力,组织海洋监测服务
6612,国家海洋局第二海洋研究所,叶绿素荧光计采购合同,协调能力,组织海洋科研
6613,水利部黄河水利委员会办公室,黄河基础地理信息平台运行维护,协调能力,支持水利信息化
6614,中国科学院上海应用物理研究所,刀片服务器,协调能力,支持科研信息化
6615,金昌市金川区委农村工作办公室,财政扶贫专项资金机井维修成套设备采购项目,协调能力,组织扶贫农业服务
6616,中国土地勘测规划院,中国土地勘测规划院外协项目合同书遥感监测任务10分包,协调能力,组织土地测绘服务
6617,定西市财政局,定西市财政局内网设备维护及保障项目,提取能力,支持财政管理
6618,国家海洋局南海调查技术中心,浅水浅地层剖面仪,协调能力,组织海洋调查服务
6619,中国科学院科技政策与管理科学研究所,多功能一体机,协调能力,支持科研机构运营
6620,无供应商,贵州大众广播传媒有限公司广告发布业务合同,其他,无明确政府机构
6621,中国科学院动物研究所,购气相色谱质谱质谱连用仪合同,协调能力,支持科研机构
6622,中国检验检疫科学研究院,血流变仪采购合同,合规能力,支持检验检疫能力
6623,酒泉市金塔县国土资源局,电子政务软硬件采购项目,协调能力,支持国土管理
6624,礼县水土保持局,全国坡耕地水土流失综合治理工程苗木采购项目,协调能力,组织水土保持服务
6625,中国科学技术馆,2015年展览巡展服务项目眼睛的故事,协调能力,提供科普公共文化服务
6626,国家测绘局四川测绘产品质量监督检验站,图形工作站采购项目,协调能力,支持测绘服务
6627,辽宁省沈阳市国家税务局,建筑装饰工程施工合同,提取能力,支持税务基础设施
6628,中国土地勘测规划院,2015年全国土地利用变更调查监测与核查卫星数据采集,协调能力,组织土地测绘服务
6629,中华人民共和国深圳出入境检验检疫局,投影仪采购项目合同,合规能力,支持检验检疫能力
6630,肃州区三墩中心卫生院,污水处理系统项目,协调能力,提供公共卫生服务
6631,庆阳市正宁林业总场西坡林场,林木种苗培育基地建设项目,协调能力,组织林业服务
6632,国家测绘地理信息局第三地形测量队,中央国家机关政府采购网上竞价合同,协调能力,支持测绘服务
6633,庆阳市西峰区林业局,封山育林等六个林业重点生态工程项目五包,协调能力,组织林业生态服务
