序号,采购人,合同名称,分类,理由
800,中华人民共和国江苏出入境检验检疫局,购销合同,合规能力,增强检验检疫能力
801,中华人民共和国江苏出入境检验检疫局,防病毒墙-盐城局,合规能力,增强检验检疫能力
802,中国美术馆,中国美术馆移动硬盘采购合同,协调能力,组织文化公共服务
803,中国人民抗日战争纪念馆,中苏共同抗战展览项目施工合同,协调能力,组织文化公共服务
804,中华人民共和国江苏出入境检验检疫局,购销合同,合规能力,增强检验检疫能力
805,中华人民共和国江苏出入境检验检疫局,政府采购合同书,合规能力,增强检验检疫能力
806,中国美术馆,中国美术馆修复中心纸本修复工作室设备采购合同,协调能力,组织文化公共服务
807,中华人民共和国江苏出入境检验检疫局,政府采购合同书,合规能力,增强检验检疫能力
808,中华人民共和国江苏出入境检验检疫局,苏州倍隆医疗设备贸易有限公司销售合同,合规能力,增强检验检疫能力
809,中华人民共和国江苏出入境检验检疫局,镇江局天融信防火墙,合规能力,增强检验检疫能力
810,中华人民共和国江苏出入境检验检疫局,购销合同,合规能力,增强检验检疫能力
811,中华人民共和国江苏出入境检验检疫局,购销合同,合规能力,增强检验检疫能力
812,中华人民共和国江苏出入境检验检疫局,购销合同,合规能力,增强检验检疫能力
813,中央电视台,中央电视台Aurus及triangon调音台全包代维,协调能力,组织广播电视服务
814,中华人民共和国江苏出入境检验检疫局,设备购销合同,合规能力,增强检验检疫能力
815,中国美术馆,中国美术馆安检、中控、发票检票、车辆管理保安服务采购合同,协调能力,组织文化公共服务
816,中国美术馆,中国美术馆高清非编采集采购合同,协调能力,组织文化公共服务
817,中华人民共和国江苏出入境检验检疫局,深信服上网行为管理,合规能力,增强检验检疫能力
818,中华人民共和国江苏出入境检验检疫局,购销合同,合规能力,增强检验检疫能力
819,中央电视台,节目推介官方微博的运营服务项目,协调能力,组织广播电视服务
820,中华人民共和国江苏出入境检验检疫局,防火墙-盐城局,合规能力,增强检验检疫能力
821,盐城出入境检验检疫局,上网行为管理-盐城局,合规能力,增强检验检疫能力
822,中华人民共和国江苏出入境检验检疫局,购销合同,合规能力,增强检验检疫能力
823,中华人民共和国江苏出入境检验检疫局,购销合同,合规能力,增强检验检疫能力
824,永靖县人民医院,永靖县人民医院医疗设备仪器采购项目供货合同,协调能力,组织公共医疗服务
825,积石山县农村能源办公室,积石山县2015年新能源设施建设项目,协调能力,组织农村能源建设
826,公安部第一研究所,政府采购合同,合规能力,增强执法科研能力
827,中央电视台,专利管理服务-技术项目专利挖掘,协调能力,组织广播电视服务
