序号,采购人,合同名称,分类,理由
18000,九龙坡区走马镇中学,学校办公用计算机,协调能力,教育
18001,中国版本图书馆,中央单位批量集中采购简易合同,协调能力,文化
18002,国家新闻出版广电总局广播电视卫星直播管理中心,国家新闻出版广电总局广播电视卫星直播管理中心播出系统维修维护项目-爱立信编码复用系统维修维护合同书,协调能力,广电
18003,中国版本图书馆,绘本连环画数字化转存及编目加工服务合同,协调能力,文化
18004,中国版本图书馆,中央单位批量集中采购简易合同,协调能力,文化
18005,九龙坡区走马镇中学,学校2015暑期维修工程监理,协调能力,教育
18006,中国版本图书馆,中国版本图书馆全国出版物信息管理系统合同,协调能力,文化
18007,中国版本图书馆,老图书样本数字化转存服务项目合同书,协调能力,文化
18008,国家新闻出版广电总局七二六台,买卖合同书,协调能力,广电
18009,中央广播电视发射二台,月坛塔安全评估与防雷改造工程施工合同,协调能力,广电
18010,九龙坡区走马镇中学,学校厕所和食堂维修合同,协调能力,教育
18011,国家新闻出版广电总局七二六台,买卖合同书,协调能力,广电
18012,国家新闻出版广电总局七二六台,中央国家机关政府集中采购汽车供货合同,协调能力,广电
18013,九龙坡区走马镇中学,教学用视频展台,协调能力,教育
18014,九龙坡区走马镇中学,学校食堂用餐饭堂改造维修,协调能力,教育
18015,皖西学院,皖西学院2015年教学仪器采购第11包,协调能力,大学教育
18016,国家新闻出版广电总局七二六台,买卖合同书,协调能力,广电
18017,九龙坡区走马镇中学,学校办公用一体机,协调能力,教育
18018,九龙坡区走马镇中学,科技名师工作室电脑,协调能力,教育
18019,九龙坡区走马镇中学,学校篮架更换,协调能力,教育
18020,中国版本图书馆,中国版本图书馆样本资源抢救工程2015年样本抢救项目光盘介质（VCD）样本数字化转存与编目服务合同,协调能力,文化
18021,国家广播电影电视总局广播电视卫星直播管理中心,国家广播电影电视总局广播电视卫星直播管理中心播出系统维修维护项目第2包合同书,协调能力,广电
18022,中国版本图书馆,中央单位批量集中采购简易合同,协调能力,文化
18023,国家广播电影电视总局广播电视卫星直播管理中心,国家广播电影电视总局广播电视卫星直播管理中心卫星直播中心新机房供配电设施维护改造项目合同书,协调能力,广电
18024,中国版本图书馆,中央单位批量集中采购简易合同,协调能力,文化
18025,琼海市人民法院,琼海市人民法院办公设施采购项目,合规能力,法院
18026,国家新闻出版广电总局广播电视卫星直播管理中心,国家新闻出版广电总局广播电视卫星直播管理中心应急供配电设备项目合同书,协调能力,广电
18027,国家新闻出版广电总局广播电视卫星直播管理中心,国家新闻出版广电总局广播电视卫星直播管理中心上行线路传输费项目合同书,协调能力,广电
18028,九龙坡区旅游局,2015年开展旅游领域"十大治理"系列活动项目,协调能力,旅游
18029,国家新闻出版广电总局五六四台,国家新闻出版广电总局无线台管理局买卖合同书,协调能力,广电
18030,九龙坡区旅游局,九龙坡区智慧旅游云计算中心和APP（微信平台）建设,协调能力,旅游
18031,中国电影资料馆,系统采购合同,协调能力,文化
18032,重庆工商大学,重庆工商大学催化实验室动物房包（1）合同,协调能力,大学教育
18033,重庆工商大学,重庆工商大学田家炳书院209学术报告厅礼堂椅合同,协调能力,大学教育
18034,重庆工商大学,重庆工商大学环境科学与工程省级重点学科建设项目进口设备合同,协调能力,大学教育
18035,重庆工商大学,重庆工商大学物联网工程技术实验室设备（2次）包（3）--3D打印设备合同,协调能力,大学教育
18036,重庆工商大学,重庆工商大学大学生心理咨询相关设备合同,协调能力,大学教育
18037,重庆工商大学,重庆智能金融实验与实践中心建设项目软件合同,协调能力,大学教育
18038,重庆工商大学,重庆工商大学社会学省级重点学科建设项目数据库包（2）合同,协调能力,大学教育
18039,九龙坡区旅游局,2015九龙坡科普亲子体验游活动报媒宣传采购,协调能力,旅游
18040,九龙坡区旅游局,智慧旅游自建平台的系统升级维护采购,协调能力,旅游
18041,重庆工商大学,重庆工商大学松园餐厅厨房及档口抽排系统合同,协调能力,大学教育
18042,九龙坡区旅游局,2015年消防安全宣传品制作项目,协调能力,旅游
18043,九龙坡区旅游局,2015年旅游行业满意度调查,协调能力,旅游
18044,重庆工商大学,重庆工商大学家具及课桌椅合同,协调能力,大学教育
18045,中国电影资料馆,中国电影资料馆文化战略决策参考供片系统保障供货合同-01,协调能力,文化
18046,九龙坡区旅游局,2015年旅游行业满意度调查,协调能力,旅游
18047,重庆工商大学,重庆工商大学社会学省级重点学科建设项目数据库包（1）合同,协调能力,大学教育
18048,重庆工商大学,重庆工商大学机器人及软件项目包（2）合同,协调能力,大学教育
18049,重庆工商大学,重庆工商大学北区第二教学楼工程全过程跟踪审计合同,协调能力,大学教育
18050,九龙坡区旅游局,2015年宣传折页设计制作的分散采购,协调能力,旅游
18051,重庆工商大学,重庆工商大学舞台灯光及音视频系统项目合同,协调能力,大学教育
18052,重庆工商大学,重庆工商大学大学生就业管理系统项目合同,协调能力,大学教育
18053,九龙坡区旅游局,2015年楼宇广告相框宣传,协调能力,旅游
18054,重庆工商大学,重庆工商大学实验室尾气处理及净化装置改造项目合同,协调能力,大学教育
18055,重庆工商大学,重庆工商大学经管类实验教学多媒体设备包（1）合同,协调能力,大学教育
18056,九龙坡区旅游局,乡村旅游专题宣传,协调能力,旅游
18057,中国电影资料馆,电影档案数字管理平台-调色设备维护,协调能力,文化
18058,重庆工商大学,重庆工商大学经管中心实验室多媒体设备合同,协调能力,大学教育
18059,重庆工商大学,重庆工商大学计信学院重点实验室及学生竞赛相关设备包（2）合同,协调能力,大学教育
18060,重庆工商大学,重庆工商大学南区10栋公寓弱电系统改造合同,协调能力,大学教育
18061,重庆工商大学,重庆工商大学智能制造装备服务工程师实验教学平台仪器设备包（3）--智能高分子材料合成系统合同,协调能力,大学教育
18062,重庆工商大学,重庆工商大学机器人及软件项目包（1）合同,协调能力,大学教育
18063,中国电影资料馆,精致修复加工合同2015（第一包）,协调能力,文化
18064,国家新闻出版广电总局七二五台,买卖合同,协调能力,广电
18065,九龙坡区旅游局,2015年制作手提袋、停车牌旅游形象宣传品的采,协调能力,旅游
18066,重庆工商大学,重庆工商大学试验机及加工设备包（1）合同,协调能力,大学教育
