序号,采购人,合同名称,分类,理由
16000,海关总署物资装备采购中心,海关总署2015年海关缉私执法办案平台运维采购项目合同,提取能力,海关
16001,甘肃省甘谷县农业局,甘肃省甘谷县农业局关于2015年甘谷县旱作农业示范区推广项目省扶贫资金顶凌覆膜地膜采购项目,协调能力,农业
16002,合肥市环境监测中心站,合肥市环境应急监测中心业务用房采购,协调能力,环保
16003,商务部电子商务和信息化司,为内外贸企业提供公共商务信息服务商务政策与业务信息发布公共服务项目商务历史专题子项目合同,协调能力,商务
16004,甘肃省计量研究院,甘肃省计量研究院电梯设备采购项目,合规能力,计量
16005,商务部电子商务和信息化司,为内外贸企业提供公共商务信息服务商务政策与业务信息发布公共服务项目投资项目信息库子项目合同,协调能力,商务
16006,庆阳市西峰区北街办事处,庆阳市西峰区北街办社区办公服务场所室内LCD、LED拼接屏采购项目政府采购合同,协调能力,社区
16007,甘肃省监狱管理局,甘肃省监狱管理局2015年度全省监狱消防设施维修改造政府采购项目,合规能力,监狱
16008,庆阳市庆化学校,庆阳市庆化学校所需图书采购合同,协调能力,教育
16009,环县人民医院,环县人民医院分娩镇痛仪采购合同,协调能力,医疗
16010,甘肃省清水县人民法院,甘肃省清水县人民法院信息化建设刑事法庭设备采购项目政府采购合同,合规能力,法院
16011,合肥市瑶海区城管局综合服务队,和平东路施工苗木迁移工程监理,协调能力,城管
16012,甘肃省监狱管理局,甘肃省监狱管理局2015年度全省监狱消防设施维修改造政府采购项目,合规能力,监狱
16013,合肥市瑶海区城管局综合服务队,和平路施工苗木迁移工程监理,协调能力,城管
16014,庆阳市公安局西峰分局交通警察大队,庆阳市公安局西峰分局交通警察大队购置安装西峰区城市道路交通指示牌项目（第二期）合同书,合规能力,公安
16015,庆阳市公安局西峰分局交通警察大队,庆阳市公安局西峰分局交通警察大队购置安装西峰区城市装西峰区城市道路交通指示牌项目（第一期）采购合同,合规能力,公安
16016,甘谷县康庄中学,甘肃省甘谷县2015年康庄中学录播教室建设项目合同书,协调能力,教育
16017,商务部电子商务和信息化司,为内外贸企业提供公共商务信息服务商务政策与业务信息发布公共服务项目公共商务信息服务项目监理子项目合同,协调能力,商务
16018,商务部电子商务和信息化司,为内外贸企业提供公共商务信息服务数据库公共服务项目外经贸企业服务网子项目合同,协调能力,商务
16019,商务部电子商务和信息化司,为内外贸企业提供公共商务信息服务商务政策与业务信息发布公共服务项目商务数据中心专题子项目合同,协调能力,商务
16020,海关总署物资装备采购中心,海关总署关税司相关系统开发升级及维护采购项目（品目二）合同,提取能力,海关
16021,庆阳市庆化学校,庆阳市庆化学校换热站设备购置项目,协调能力,教育
16022,海关总署物资装备采购中心,海关总署关税司相关系统开发升级及维护采购项目（品目一）合同,提取能力,海关
16023,庆阳市规划局,庆阳市城区城市地下管线普查项目,协调能力,规划
16024,天水市秦州区人民检察院,天水市秦州区人民检察院会议、电教平台及楼宇智能化系统采购项目采购合同,合规能力,检察院
16025,庆阳市文明办,庆阳市文明办所需宣传牌,协调能力,宣传
16026,庆阳市法制办,庆阳市法制办法制宣传广告,协调能力,法制宣传
16027,庆阳市规划局,庆阳市规划展览馆部分布展更新项目,协调能力,规划
16028,海关总署物资装备采购中心,关务保障司采购信息安全产品升级维护服务(管理网客户端）合同,提取能力,海关
16029,安徽交通职业技术学院,安徽交通职业技术学院学生活动中心设备及学工系统采购第1包,协调能力,教育
16030,海关总署物资装备采购中心,海关总署关税司相关系统开发升级及维护采购项目（品目三）,提取能力,海关
16031,海关总署物资装备采购中心,海关总署2015年金关工程二期内外网门户定制开发服务采购项目02包合同,提取能力,海关
16032,合肥市瑶海区农林水务局,瑶海区游园绿地施工监理,协调能力,基础设施
16033,商务部电子商务和信息化司,为内外贸企业提供公共信息服务基础平台公共服务项目外经贸发展专项资金网络管理系统开发、维护与管理子项目合同,协调能力,商务
16034,甘肃省甘谷县南街小学,甘肃省甘谷县南街小学购置教学信息化设备采购项目采购合同,协调能力,教育
16035,甘肃省监狱管理局,甘肃省监狱管理局2015年度全省监狱消防设施维修改造政府采购项目,合规能力,监狱
16036,商务部电子商务和信息化司,为内外贸企业提供公共商务信息服务影像资讯中心公共服务项目合同,协调能力,商务
16037,甘肃省秦安县人民法院,甘肃省秦安县人民法院信息化建设刑事法庭设备采购项目政府采购合同,合规能力,法院
16038,海关总署物资装备采购中心,关务保障司采购财政部采购计划管理系统（部门版）定制开发服务合同,提取能力,海关
16039,庆阳市博物馆,庆阳市博物馆文物保护修复实验室设备采购,协调能力,文化
