序号,采购人,合同名称,分类,理由
3600,国家图书馆,国家图书馆民国图书缩微胶卷数字化加工政府采购项目合同-中数图,协调能力,组织公共文化服务
3601,山东黄河河务局济南黄河河务局,中央单位批量集中采购简易合同,协调能力,组织水利管理
3602,中央歌剧院,中央国家机关政府集中采购电子结算单,协调能力,组织公共文化服务
3603,江苏省镇江市国家税务局,江苏省镇江市国家税务局台式计算机采购项目合同,提取能力,增强税收办公能力
3604,云南省昌宁县国家税务局,昌宁县国家税务局政府采购买卖合同,提取能力,增强税收办公能力
3605,九台市国家税务局,国税系统办公设备类产品协议供货合同,提取能力,增强税收办公能力
3606,无供应商,采购合同,协调能力,组织公共服务
3607,中央国家机关政府采购中心,中央单位批量集中采购简易合同,协调能力,组织政府采购服务
3608,长春市国家税务局第一稽查局,国税系统批量集中采购合同,提取能力,增强税收稽查能力
3609,河北省国家税务局,河北省国家税务局税源管理平台升级改造项目合同书,提取能力,增强税收征管能力
3610,济南黄河河务局历城黄河河务局,中央单位批量集中采购合同,协调能力,组织水利管理
3611,息县国家税务局,河南省信阳市息县国税局激光打印机批量采购合同,提取能力,增强税收办公能力
3612,慈溪市国家税务局,慈溪市国家税务局稽查局复印机采购合同,提取能力,增强税收稽查能力
3613,泉州市丰泽区国家税务局,丰泽国税多功能一体机协议供货采购合同,提取能力,增强税收办公能力
3614,宜昌市点军区国家税务局,国税系统空调产品协议供货合同,提取能力,增强税收办公能力
3615,国家税务总局,湖北省宜昌市宜都市国税局三季度激光打印机批量采购合同,提取能力,增强税收办公能力
3616,国家海洋局深圳海洋管理处,采泥器和生物网,协调能力,组织海洋管理服务
3617,国家测绘地理信息局第一地形测量队,中央国家机关政府采购网上竞价合同,协调能力,组织测绘地理服务
3618,湖北省红安县国家税务局,湖北省黄冈市红安县国税局2015年二季度平推打印机合同,提取能力,增强税收办公能力
3619,净月经开国家税务局,清华同方台式计算机,提取能力,增强税收办公能力
3620,国家测绘地理信息局第一地形测量队,中央国家机关政府采购网上竞价合同,协调能力,组织测绘地理服务
3621,中央芭蕾舞团,中央国家机关汽车维修验收单,协调能力,组织公共文化服务
3622,长春市国家税务局第一稽查局,国税系统批量集中采购合同,提取能力,增强税收稽查能力
3623,浙江省嵊泗县国家税务局,国税系统计算机批量采购合同,提取能力,增强税收办公能力
3624,国家测绘地理信息局第一地形测量队,中央国家机关政府采购网上竞价合同,协调能力,组织测绘地理服务
3625,国家海洋局深圳海洋管理处,便携式计算机合同,协调能力,组织海洋管理服务
