序号,采购人,合同名称,分类,理由
7800,金昌市金川总校,金昌市金川总校心理咨询设备中标合同3,协调能力,支持公共教育服务
7801,广州市国税局,广州市政府采购合同,提取能力,增强税务服务能力
7802,中国科学院光电研究院,大口径太阳辐照模拟器,协调能力,组织科学研究
7803,中国科学院生物物理研究所,刀片式服务器,协调能力,组织科学研究
7804,中国检验检疫科学研究院,中国检验检疫科学研究院动态顶空进样器采购合同,合规能力,增强检验检疫能力
7805,中国检验检疫科学研究院,中国检验检疫科学研究院多通道固相萃取仪采购合同,合规能力,增强检验检疫能力
7806,甘肃省金昌监狱,甘肃省金昌监狱罪犯食用粮油采购项目-供货合同（第二包）,合规能力,支持监狱管理
7807,中国检验检疫科学研究院,中国检验检疫科学研究院致病菌荧光免疫分析仪采购合同,合规能力,增强检验检疫能力
7808,国家海洋局宁德海洋环境监测中心站,中央国家机关2015年打印机批量集中采购项目-第六期（7月）合同,协调能力,组织海洋监测服务
7809,国家测绘地理信息局第一地形测量队,中央国家机关政府采购网上竞价合同,协调能力,组织测绘服务
7810,金昌市供销合作社,金昌市供销合作社电脑等设备采购合同,协调能力,支持供销合作服务
7811,金昌市政府办,金昌市政府办行政中心会议设备采购合同,协调能力,政府日常运营
7812,金昌市公共资源交易中心,金昌市公共资源交易中心档案密集架项目采购合同,协调能力,组织公共资源交易服务
7813,中国检验检疫科学研究院,中国检验检疫科学研究院标准黑体炉采购合同,合规能力,增强检验检疫能力
7814,中国科学院光电研究院,通用应力仪,协调能力,组织科学研究
7815,中国检验检疫科学研究院,中国检验检疫科学研究院程序降温仪采购合同,合规能力,增强检验检疫能力
7816,中国科学院昆明动物研究所,智能生物图像导航仪,协调能力,组织科学研究
7817,桂林市国家税务局,政府采购合同,提取能力,增强税务服务能力
7818,中华人民共和国河口出入境检验检疫局,采购合同书,合规能力,增强检验检疫能力
7819,广州市国家税务局,广州市政府采购合同,提取能力,增强税务服务能力
7820,那曲地区国家税务局,那曲县国家税务局、嘉黎县国家税务局、尼玛县国家税务局高原富氧系统设备采购项目,提取能力,增强税务服务能力
7821,桂林市国家税务局,合同,提取能力,增强税务服务能力
7822,广州市国家税务局,广州市政府采购合同,提取能力,增强税务服务能力
