序号,采购人,合同名称,分类,理由
11800,暨南大学,6位半数字万用表等采购合同,协调能力,高等教育设施
11801,暨南大学,细胞核转染系统等采购合同,协调能力,高等教育设施
11802,敦煌市房管局,酒泉市敦煌市房管局人才公寓家具及电器设备采购项目,协调能力,人才公寓建设
11803,南京森林警察学院,防水,协调能力,高等教育设施
11804,安徽省省直机关医院,省直机关医院滨湖院区放射系统等医疗设备第3包,协调能力,公共医疗设备
11805,合肥综合保税区管理办公室,合肥综合保税区物业管理,协调能力,保税区服务
11806,安徽省地方税务局,安徽省地方税务局办税服务厅监控,提取能力,税务机关设施
11807,商务部市场运行和消费促进司,茧丝绸科技转化服务项目合同,协调能力,茧丝绸产业服务
11808,合肥市保障性住房建设发展中心,蓝天公寓、荣成北苑、永和家园廉租房智能化监控工程,协调能力,保障房设施建设
11809,甘肃省中医院,甘肃省中医院救护车手术车采购政府采购项目,协调能力,公共医疗设备
11810,安徽工程大学,安徽工程大学教学设备采购第20包：机械电子设备,协调能力,高等教育设施
11811,靖远县教育局,白银市靖远县2012年市县财政教育投入奖补资金项目,协调能力,基础教育设施
11812,靖远县农业技术推广中心,白银市靖远县农业技术推广中心2016年农业补贴地膜采购项目,协调能力,农业技术推广
11813,中国科学院软件研究所,中国科学院软件研究所三维应急虚拟演练软件采购项目,协调能力,软件科研设施
11814,安徽省法学会,安徽省法学会办公用品采购,协调能力,法学研究服务
11815,安徽省荣军康复医院,安徽省荣军康复医院优抚对象药品材料采购第1包,协调能力,优抚医疗服务
11816,民乐县顺化乡人民政府,民乐县顺化乡人民政府2014年、2015年扶贫项目（三包）,协调能力,扶贫项目建设
11817,暨南大学,532nm短脉冲激光器采购合同,协调能力,高等教育设施
11818,敦煌公路收费管理所,酒泉市敦煌公路收费管理所管理设施标准化建设工程采购项目,协调能力,交通设施建设
11819,安徽省经济信息中心,安徽省重大工程包项目信息管理系统,协调能力,重大工程信息化
11820,安徽省公安厅警察训练总队,安徽省公安厅警察训练总队计算机网络设备第3包：公安信息系统应用实训室,合规能力,公安训练设施
11821,暨南大学,鼻流计采购合同,协调能力,高等教育设施
11822,南京森林警察学院,同步热分析仪,协调能力,高等教育设施
11823,商务部市场运行和消费促进司,"丝绸中国"系列推广活动项目合同,协调能力,丝绸产业宣传
11824,崇信县铜城工业园区管理委员会,崇信县铜城工业园区赵湾村社道路及排洪渠建设项目,协调能力,工业园区建设
11825,安徽省医学科学研究院,安徽省医学科学研究院吸顶式空调,协调能力,医学科研设施
11826,靖远农业技术推广中心,白银市靖远县农技中心2015年中药材苹果发展扶持资金项目挖药机,协调能力,农业技术推广
11827,南京森林警察学院,车辆管理系统项目,协调能力,高等教育设施
11828,靖远县大芦乡人民政府,白银市靖远县大芦乡庄口村生活垃圾处理项目,协调能力,农村环境整治
11829,安徽省环境监测中心站,安徽省环境监测中心站能力建设仪器设备第12包,提取能力,环境监测设施
11830,甘肃省环境监测中心站,甘肃省环境监测中心站实验室仪器及试剂耗材采购项目购销合同,提取能力,环境监测设施
11831,阜阳师范学院,阜阳师范学院教学设备采购第7包：录音设备采购项目,协调能力,高等教育设施
11832,靖远县森林公安局,白银市靖远县森林公安局办案区装修工程项目,合规能力,森林公安设施
11833,南京森林警察学院,网络运维服务项目,协调能力,高等教育信息化
11834,靖远县残疾人联合会,白银市靖远县残疾人联合会无障碍改造热水器项目,协调能力,残疾人服务
11835,暨南大学,台式X射线衍射仪、红外光谱仪实验室设备采购合同,协调能力,高等教育设施
11836,中国科学院软件研究所,中国科学院软件研究所台式计算机采购项目结果公告,协调能力,软件科研设施
11837,中国疾病预防控制中心环境与健康相关产品安全所,中国疾病预防控制中心环境与健康相关产品安全所摄像机采购合同,协调能力,疾控检测设施
11838,南京森林警察学院,UPS,协调能力,高等教育设施
11839,中国传媒大学,2015第061号实验教学中心实验设备采购05包-2,协调能力,高等教育设施
11840,合肥市第三人民医院,合肥市第三人民医院2015年专用设备采购第3包,协调能力,公共医疗设备
11841,定西市安定区文广局,定西市安定区文广局乡镇综合文化站图书采购合同,协调能力,公共文化服务
11842,南京森林警察学院,治安相关设备,协调能力,高等教育设施
11843,中央电视台,新址新闻ORAD在线包装设计制作岗位技术业务服务外包,协调能力,媒体技术服务
11844,瓜州县农牧局,酒泉市瓜州县农村土地承包经营权确权登记颁证技术单位采购项目,提取能力,土地确权登记
11845,靖远县安全生产监督管理局,白银市靖远县安全生产监督管理局办公设备项目,合规能力,安监机关设施
11846,阜阳师范学院,阜阳师范学院教学设备采购第6包：文学院教学设备类,协调能力,高等教育设施
11847,合肥体育运动学校,合肥体育运动学校赛艇和皮划艇采购,协调能力,体育教育设施
11848,民乐县顺化乡人民政府,民乐县顺化乡人民政府2014年、2015年扶贫项目政府采购合同（二包）,协调能力,扶贫项目建设
11849,安徽省工商行政管理局,安徽省工商行政管理局网络信息安全设备第1包,合规能力,市场监管信息化
11850,崇信县木林乡人民政府,崇信县木林乡标准化果园管理项目,协调能力,农业产业发展
11851,靖远县农业技术推广中心,白银市靖远县农业技术推广中心2014年高效农田节水技术推广项目,协调能力,农业技术推广
11852,合肥市规划局,合肥市滁河干渠沿线水系保护规划,协调能力,水系保护规划
11853,正宁县林业局,正宁县林业局2015年苗木采购及大苗栽植采购项目合同,协调能力,林业生态建设
11854,民乐县顺化乡人民政府,民乐县顺化乡人民政府2014年、2015年扶贫项目政府采购合同（一包）,协调能力,扶贫项目建设
11855,兰州新区公安消防特勤中队,兰州新区公安消防特勤中队音响视频系统采购及安装项目供货合同,合规能力,消防设施建设
11856,南京森林警察学院,网络与信息安全加固服务,协调能力,高等教育信息化
11857,南京森林警察学院,实验C楼综合布线,协调能力,高等教育设施
11858,崇信县铜城工业园区管理委员会,崇信县2015年铜城工业园区管理委员会"一事一议"财政奖补项目,协调能力,乡村公益事业
11859,安徽财经大学,安徽财经大学数字资源、图书资料第5包,协调能力,高等教育资源
11860,暨南大学,正置生物显微镜等实验室设备采购合同,协调能力,高等教育设施
11861,阜阳师范学院,阜阳师范学院教学设备采购第2包：采编系统类项目,协调能力,高等教育设施
11862,暨南大学,冰冻石蜡切片机1台，便携式BD流式细胞仪1台采购合同,协调能力,高等教育设施
11863,暨南大学,小鼠琴键式运动行为分析系统、全自动社交行为分析系统采购合同,协调能力,高等教育设施
11864,中国疾病预防控制中心环境与健康相关产品安全所,中国疾病预防控制中心环境与健康相关产品安全所超低温保存箱采购合同,协调能力,疾控检测设施
11865,四川省遥感信息测绘院,中央国家机关政府采购网上竞价合同,提取能力,遥感测绘设施
11866,合肥市庐阳区教育体育局,合肥市庐阳区区域性高清智能互动录播点播教学系统采购安装,协调能力,基础教育信息化
11867,中国传媒大学,2015第061号实验教学中心实验设备采购01包,协调能力,高等教育设施
11868,中国科学院软件研究所,中国科学院软件研究所台式机采购项目结果公告,协调能力,软件科研设施
11869,安徽医科大学,安徽医科大学生命科学学院科研设备,协调能力,高等教育设施
