序号,采购人,合同名称,分类,理由
1200,国家旅游局,第十届海峡两岸台北旅展序馆设计及制作项目合同,协调能力,组织对外旅游交流
1201,中华人民共和国东山出入境检验检疫局,政府采购合同,合规能力,增强检验检疫能力
1202,国家税务总局,国家税务总局舆情监控分析外包服务采购项目合同,提取能力,增强税务信息监控
1203,中国民用航空局空中交通管理局,中央国家机关政府采购网上竞价合同,协调能力,组织航空交通管理
1204,北京外国语大学,北京外国语大学消防系统网络平台建设项目,协调能力,组织高等教育服务
1205,庆城县国土资源局,庆城县第三轮矿产资源总体规划编制项目,提取能力,采集矿产资源信息
1206,中国地质科学院矿产资源研究所,野外样品采集与测试分析系统采购合同书,提取能力,采集地质矿产数据
1207,渭源县中医院,渭源县中医院2015年冬季取暖用煤供货合同,协调能力,组织公共医疗服务
1208,四川省遥感信息测绘院,中央国家机关政府采购网上竞价合同,提取能力,采集测绘遥感数据
1209,国家基础地理信息中心,中央国家机关政府采购网上竞价合同,提取能力,采集地理信息数据
1210,临夏市人民广播电台,临夏市人民广播电台广播村村通项目供货合同,协调能力,组织广播公共服务
1211,中央电视台,一号厅消防水系统保养,协调能力,组织广播电视服务
1212,中华人民共和国深圳海关,深圳海关金关工程二期A0503沙头角边境特别管理区旅客智能分类通关管理系统项目合同,合规能力,增强海关通关监管
1213,中华人民共和国饶河海关,中华人民共和国饶河海关关于中央国家机关2015年便携式计算机批量集中采购项目的合同公告,合规能力,增强海关查验能力
1214,中央电视台,现址总控系统更新（铯钟及北斗系统部分）,协调能力,组织广播电视服务
1215,梧州市国家税务局,梧州市国家税务局机关大院物业管理合同,提取能力,增强税收征管能力
1216,上海市国家税务局、上海市地方税务局,上海市国家税务局、上海市地方税务局税务冬服制作合同,提取能力,增强税收征管能力
1217,上海市国家税务局、上海市地方税务局,上海市国家税务局、上海市地方税务局税务春秋服制作合同,提取能力,增强税收征管能力
1218,中华人民共和国深圳海关,南头海关生活区集体宿舍修缮工程项目合同,合规能力,增强海关查验能力
1219,中国民用航空局空中交通管理局,中央国家机关政府采购网上竞价合同,协调能力,组织航空交通管理
1220,广西壮族自治区国家税务局,广西国税系统空调批量采购合同,提取能力,增强税收征管能力
1221,国家基础地理信息中心,中央国家机关政府采购网上竞价合同,提取能力,采集地理信息数据
1222,山东出入境检验检疫局,现场微生物快速检测系统采购合同,合规能力,增强检验检疫能力
1223,中华人民共和国深圳海关,金关工程二期皇岗海关、惠州港海关监控指挥中心指挥室建设项目合同,合规能力,增强海关监控能力
1224,庆阳市林业局,庆阳市林业局《庆阳市林业志》出版、印刷,协调能力,组织林业公共服务
1225,新疆国税局,新疆国税局便携式计算机合同,提取能力,增强税收征管能力
1226,上海市国家税务局、上海市地方税务局,上海市国家税务局、上海市地方税务局税务短袖夹克、税务夏裤、税务女裙、税务外穿长衬衣、税务外穿长衬衣制作合同,提取能力,增强税收征管能力
1227,上海市国家税务局、上海市地方税务局,上海市国家税务局、上海市地方税务局税务温区防寒服制作合同,提取能力,增强税收征管能力
1228,国家基础地理信息中心,中央国家机关政府采购网上竞价合同,提取能力,采集地理信息数据
1229,中华人民共和国深圳海关,金关工程二期A0503（深圳海关跨境快速通关、转关无纸化智能卡口完善）项目合同,合规能力,增强海关通关监管
1230,新疆国税局,新疆国税局便携式计算机合同,提取能力,增强税收征管能力
1231,深圳海关,深圳海关金关工程二期监控指挥中心工程建设及系统集成项目二标段合同,合规能力,增强海关监控能力
1232,甘肃一正农业科技有限公司,白银市靖远县1500头良种奶牛繁育场扩建项目良种奶牛项目,协调能力,组织农业发展服务
1233,中华人民共和国深圳海关,深圳海关2015新招录公务员集体宿舍家具配置项目合同,合规能力,增强海关查验能力
