序号,采购人,合同名称,分类,理由
11200,合肥市重点工程建设管理局,瑶海区龙腾家园公租房、瑶海区都市科技园公租房、蜀山新产业园公租房二期太阳能采购,协调能力,保障房设施建设
11201,西藏自治区税务干部学校,商品购销安装合同,提取能力,税务培训设施
11202,安徽省水上运动管理中心,安徽省水上运动管理中心皮划艇、赛艇器材采购第2包,协调能力,体育训练设施
11203,盐城市科学技术协会,2015年盐城市公民科学素质调查政府采购合同,提取能力,公民科学素质调查
11204,淮北师范大学,淮北师范大学2015提升计划及振兴计划设备采购第19包,协调能力,高等教育设施
11205,海关总署物资装备采购中心,金关工程二期企业信用项目群及海关统一门户系统采购项目（02包企业信用信息管理子系统）,提取能力,海关信息化建设
11206,合肥市包河区重点工程建设管理局,包河区泰山路、当涂支路等13条支路网路灯采购第2包,协调能力,市政照明设施
11207,中央人民广播电台,中央人民广播电台直播机房视频灯光系统采购项目,协调能力,媒体设施采购
11208,肃南裕固族自治县民族博物馆,肃南裕固族自治县民族博物馆馆藏珍贵文物预防性保护设备采购项目政府采购合同,协调能力,文物保护设施
11209,海关总署物资装备采购中心,2015年金关工程二期信息安全产品四采购合同（数据采集分发设备）,提取能力,海关信息安全
11210,酒泉市中级人民法院,酒泉市中级人民法院诉讼服务中心维修改造项目（1包）,合规能力,司法设施建设
11211,海关总署物资装备采购中心,海关总署2015年信息安全等级保护测评及风险评估服务采购项目合同,提取能力,海关信息安全
11212,海关总署物资装备采购中心,海关总署2015年金关工程二期相关系统软件采购项目01包语音转写应用,提取能力,海关信息化建设
11213,泰州市科学技术协会,2015年泰州市公民科学素质调查政府采购合同,提取能力,公民科学素质调查
11214,环境保护部核与辐射安全中心,运行核电厂PSA始发事件数据库开发合同；应用于AP1000核电厂的基于先兆分析的事件评价数据库开发合同,合规能力,核安全监管研究
11215,合肥市第二人民医院,合肥市第二人民医院软硬件设备采购（第1包：管理软件）,协调能力,公共医疗信息化
11216,连云港市科学技术协会,2015年连云港市公民科学素质调查政府采购合同,提取能力,公民科学素质调查
11217,陇西县妇幼保健院,陇西县妇幼保健院病床等医疗设备采购项目第一包,协调能力,公共医疗设备
