序号,采购人,合同名称,分类,理由
2800,山东省国家税务局,信息中心购所得税管理系统等所需服务器,提取能力,增强税收管理能力
2801,环境保护部华北核与辐射安全监督站,辐射环境监测项目合同书,合规能力,增强环境监管能力
2802,中央芭蕾舞团,中央国家机关政府集中采购电子验收单,协调能力,组织公共文化服务
2803,河北省唐山市迁西县国税局,河北省唐山市迁西县国税局2015年3季度复印机批量集中采购合同,提取能力,增强税收办公能力
2804,湖北省鄂州市国家税务局,湖北省鄂州市国家税务局7月份台式计算机紧急采购合同,提取能力,增强税收办公能力
2805,南京市高淳区国家税务局,南京市高淳区国家税务局A4激光黑白打印机采购合同,提取能力,增强税收办公能力
2806,中央电视台,财经频道上海、深圳演播室改造（一）工作站、监视器及网络部分,协调能力,组织广播电视服务
2807,福建省惠安县国家税务局,国税系统批量集中采购合同,提取能力,增强税收办公能力
2808,中国传媒大学,中国教育图书进出口有限公司合同,协调能力,组织教育服务
2809,山东省国家税务局,山东省国家税务局网上办税平台所得税年度申报等功能拓展需求项目,提取能力,增强税收征管能力
2810,卫生部北京医院,1.5T全身磁共振采购合同,协调能力,组织公共医疗服务
2811,青海省国家税务局,青海省国税局金税三期工程优化版上线服务单一来源采购项目合同,提取能力,增强税收征管能力
2812,中国农业电影电视中心,AVID高清制作网质保服务第四包,协调能力,组织公共传媒服务
2813,湖北省鄂州市国家税务局,湖北省鄂州市国家税务局7月份台式计算机紧急采购合同,提取能力,增强税收办公能力
2814,中国传媒大学,中国国际图书贸易集团合同C,协调能力,组织教育服务
2815,山东省国家税务局,纳税服务处购投影仪,提取能力,增强税收服务能力
2816,国家税务总局,复印机采购合同,提取能力,增强税收办公能力
2817,山东省国家税务局,信息中心购数字证书发行发布2路服务器,提取能力,增强税收信息化能力
2818,福建省惠安县国家税务局,国税系统批量集中采购合同,提取能力,增强税收办公能力
2819,国家发展和改革委员会,中央国家机关政府集中采购电子验收单,协调能力,组织经济发展规划
2820,湖北省远安县国家税务局,台式计算机采购合同,提取能力,增强税收办公能力
2821,四川省宜宾县国家税务局,国税系统批量集中采购合同,提取能力,增强税收办公能力
2822,青海省国税局,青海省国税局2015年信息化建设流量控制设备采购项目合同,提取能力,增强税收信息化能力
2823,山东省国家税务局,山东神国家税务局计算机设备驻场服务,提取能力,增强税收信息化能力
2824,国家税务总局,湖北省黄石市国家税务局二季度台式计算机批采,提取能力,增强税收办公能力
2825,山东省国家税务局,稽查局购4U服务器,提取能力,增强税收稽查能力
2826,白银市中级人民法院,白银市中级人民法院弱电线路环境改造（拆旧换新）施工项目政府采购供销合同,合规能力,增强司法审判能力
2827,海河流域水资源保护局,麻田、侯壁、观台及岳城水库坝前水质自动监测站建设项目,协调能力,组织水资源管理
2828,河南省商城县国家税务局,河南省信阳市商城县国税局针式平推打印机批量采购合同,提取能力,增强税收办公能力
2829,天津普泽工程咨询有限责任公司,海河流域水环境监测中心水质监测设备采购I标,协调能力,组织水资源管理
2830,国家税务总局2015年第三季度国税系统PC机批量集中采购项目第II包便携式计算机中标公告,国税系统批量集中采购合同,提取能力,增强税收办公能力
2831,南京市高淳区国家税务局,南京市高淳区国家税务局A3黑白复印机采购合同,提取能力,增强税收办公能力
2832,山东省国家税务局,办公室购传真机,提取能力,增强税收办公能力
2833,湖北省鄂州市国家税务局,湖北省鄂州市国家税务A3打印机采购合同,提取能力,增强税收办公能力
2834,宁波市财政税务学校,车辆保险合同,提取能力,增强财税培训能力
2835,青海省班玛县国家税务局,青海省果洛州班玛县国家税务局电视机采购合同,提取能力,增强税收办公能力
2836,宁波市江北区国家税务局,国税系统IT类产品协议供货合同,提取能力,增强税收办公能力
2837,国家税务总局,湖北省襄阳市樊城区国税局打印机采购合同,提取能力,增强税收办公能力
2838,中国极地研究中心,中国极地研究中心联想移动工作站采购项目,协调能力,组织科学研究
2839,刚察县国家税务局,中央国家机关政府采购办公电器合同,提取能力,增强税收办公能力
2840,中国国家画院,防火墙,协调能力,组织公共文化服务
2841,中国极地研究中心,中国极地研究中心光钎交换机采购项目,协调能力,组织科学研究
2842,通州市国家税务局,国税系统空调类产品协议供货合同,提取能力,增强税收办公能力
2843,甘谷县体育发展中心,甘谷县体育发展中心购置户外健身器材采购项目采购合同,协调能力,组织公共体育服务
2844,通州市国家税务局,国税系统批量集中采购合同,提取能力,增强税收办公能力
2845,淮河水利委员会水文局（信息中心）,五道沟水文实验站改建项目仪器及设备购置安装工程3标段,协调能力,组织水利管理
2846,国家税务总局,湖北省襄阳市国家税务局扫描仪采购,提取能力,增强税收办公能力
2847,中国极地研究中心,中国极地研究中心野外加固三防笔记本采购项目,协调能力,组织科学研究
2848,湖北省竹山县国家税务局,国税系统批量集中采购合同,提取能力,增强税收办公能力
2849,长春市经济技术开发区国家税务局,国税系统批量集中采购合同,提取能力,增强税收办公能力
2850,国家图书馆,2016年度外文报刊采购项目合同,协调能力,组织公共文化服务
2851,浙江省余姚市国家税务局,机动车辆定点保险合同,提取能力,增强税收办公能力
2852,国家税务总局,湖北省襄阳市襄州区国家税务局第二季度便携式计算机采购,提取能力,增强税收办公能力
2853,湖北省随州市国家税务局,湖北省随州市国税局第三季度台式计算机批量采购合同,提取能力,增强税收办公能力
2854,湖北省竹山县国家税务局,国税系统批量集中采购合同,提取能力,增强税收办公能力
2855,淮河水利委员会水文局（信息中心）,中小河流水文监测系统淮河流域水文应急监测及通信指挥系统采购,协调能力,组织水利管理
2856,吉林省国家税务局,国税系统空调类产品协议供货合同,提取能力,增强税收办公能力
2857,文化部艺术发展中心,中央国家机关汽车维修验收单,协调能力,组织公共文化服务
2858,水利部珠江水利委员会,珠江中下游重要河道治导线规划技术咨询合同补充协议书,协调能力,组织水利规划
2859,富平县国家税务局,陕西省渭南市富平县国家税务局刘集税务分局办公楼修缮项目合同,提取能力,增强税收办公能力
2860,文化部艺术发展中心,中央国家机关政府集中采购电子验收单,协调能力,组织公共文化服务
2861,国家税务总局,国税系统IT类产品协议供货合同,提取能力,增强税收办公能力
2862,宜昌市国家税务局,湖北省宜昌市国税局二季度打印机采购合同,提取能力,增强税收办公能力
2863,贵州省贵定县国家税务局,国税系统批量集中采购合同,提取能力,增强税收办公能力
2864,国家税务总局2015年第三季度国税系统PC机批量集中采购项目第II包便携式计算机中标公告,湖北省襄阳市襄州区国家税务局第三季度便携式计算机采购,提取能力,增强税收办公能力
2865,宁波市财政税务学校,宁波市财政税务学校车辆保险合同,提取能力,增强财税培训能力
2866,国家图书馆,国家图书馆2015-2016年度文献阅览外借辅助服务外包合同,协调能力,组织公共文化服务
