序号,采购人,合同名称,分类,理由
19000,区社保局,重庆市全民社会保险参保登记表,协调能力,社保部门负责社会保险管理
19001,国家质检监督检验检疫总局信息中心,国家质量监督检验检疫总局信息中心网络通信电路租用合同,合规能力,质检部门信息化建设
19002,国家质检监督检验检疫总局信息中心,金质工程（一期）中国WTO/TBT-SPS进出口产品检验检疫风险预警及快速反应系统运维优化项目,合规能力,质检部门负责检验检疫
19003,国家质检监督检验检疫总局信息中心,国家质检总局办公大楼机房环境系统运维服务项目,合规能力,质检部门信息化建设
19004,国家质检监督检验检疫总局信息中心,国家质量监督检验检疫总局机房扩容改造项目,合规能力,质检部门信息化建设
19005,区广播电视台,外采摄像机系统第一期续购项目,协调能力,广电部门负责广播电视传播
19006,国家质检监督检验检疫总局信息中心,2015年进口旧机电质量安全信息服务平台技术支持服务项目,合规能力,质检部门负责进口设备质量监管
19007,国家质检监督检验检疫总局信息中心,质检总局十二五政务信息化工程相关项目可研和初设咨询服务项目,合规能力,质检部门信息化建设
19008,国家质检监督检验检疫总局信息中心,国家质检总局信息中心质量监督应用管理系统软硬件环境运维服务项目,合规能力,质检部门信息化建设
19009,国家质检监督检验检疫总局信息中心,国家质检总局数字通信系统线路租赁项目,合规能力,质检部门信息化建设
19010,国家质检监督检验检疫总局信息中心,国家质检总局信息中心2015年金质工程应用支撑平台运维服务项目,合规能力,质检部门信息化建设
19011,国家质检监督检验检疫总局信息中心,2015年"金质工程"（一期）进境货物（废物原料）电子监管系统运维服务,合规能力,质检部门负责进境监管
19012,国家质检监督检验检疫总局信息中心,大通关"系统PC服务器运维服务项目,合规能力,质检部门信息化建设
19013,国家质检监督检验检疫总局信息中心,质检总局信息中心2015年金质工程操作系统、Oracle数据库、金蝶中间件维保服务采购,合规能力,质检部门信息化建设
19014,宁波市强制隔离戒毒所,宁波市强制隔离戒毒所监控门禁系统项目,合规能力,戒毒机构负责强制隔离戒毒
19015,国家质检监督检验检疫总局信息中心,质检总局行政审批业务基础应用平台升级改造和集成改造项目,合规能力,质检部门信息化建设
19016,北碚区保健院,电子病历系统采购技术合同,协调能力,保健院提供医疗保健服务
19017,重庆市公安局巴南区分局,巴南区公安分局现场勘查二级建库采购合同,合规能力,公安机关负责刑事侦查
19018,重庆市公安局巴南区分局,巴南区公安分局门楼牌项目合同,合规能力,公安机关负责治安管理
19019,重庆市公安局巴南区分局,重庆市政府采购购销合同,合规能力,公安机关负责社会治安管理
19020,重庆市公安局巴南区分局,李家沱派出所租赁房屋项目,合规能力,公安机关负责社会治安管理
19021,重庆市公安局巴南区分局,重庆市巴南区界石、接龙交通安全服务站工程施工合同,合规能力,公安机关负责交通安全管理
19022,国家质量监督检验检疫总局信息中心,特种设备业务管理系统运维服务合同,合规能力,质检部门负责特种设备监管
19023,北碚区疾控中心,技术开发（委托）合同,协调能力,疾控中心负责疾病预防控制
19024,北碚区疾控中心,北碚区政府货物采购购销合同,协调能力,疾控中心负责疾病预防控制
19025,北碚区疾控中心,广告发布合同,协调能力,疾控中心负责健康宣传
19026,北碚区疾控中心,北碚区政府采购货物购销合同,协调能力,疾控中心负责疾病预防控制
19027,北碚区疾控中心,射线防护制品合同书,协调能力,疾控中心负责放射卫生防护
19028,北碚区疾控中心,公交候车亭位置信息标注协议,协调能力,疾控中心负责健康宣传
19029,北碚区疾控中心,宣传合作协议,协调能力,疾控中心负责健康宣传
19030,国家质检总局信息中心,质检系统信息安全监管平台测试化验项目,合规能力,质检部门信息安全
19031,国家质量监督检验检疫总局信息中心,国家质量监督检验检疫总局主干网数字通信系统线路租用,合规能力,质检部门信息化建设
19032,国家质量监督检验检疫总局信息中心,2015年度质检政府网站信息安全检测与通报项目,合规能力,质检部门信息安全
19033,国家质量监督检验检疫总局信息中心,2015年度国家质检总局信息安全等级保护测评项目,合规能力,质检部门信息安全
