序号,采购人,合同名称,分类,理由
11600,南京森林警察学院,实验C楼精密空调,协调能力,高等教育设施
11601,安徽省未成年犯管教所,省直监狱专网电话升级改造,合规能力,监狱通信设施
11602,安徽省产品质量监督检验研究院,安徽省质检院计量检定校准服务,合规能力,质量检验服务
11603,合肥市滨湖新区建设投资有限公司,上海路（锦绣大道-方兴大道）市政道路设计,协调能力,市政道路建设
11604,阿克塞县交警队,酒泉市阿克塞县公安局交警大队车管所科目二、科目三共用考试系统项目,合规能力,交通执法设施
11605,崇信县黄寨乡人民政府,崇信县黄寨乡民新种养业基地建设项目,协调能力,农业产业发展
11606,安徽省疾病预防控制中心,安徽省疾病预防控制中心编辑出版医学专著,协调能力,疾控科普服务
11607,合肥市包河城市建设投资有限公司,包河经济开发区美丹家园二期工程监理,协调能力,保障房建设监理
11608,安徽警官职业学院,安徽警官职业学院西区雨污分流工程第2包,协调能力,职业教育设施
11609,合肥市公路管理局,望江西路（将军岭路至新桥大道)建设工程监理第1包,协调能力,交通基础设施
11610,安徽省林业厅,安徽省本级森林防火物资储备第1包,协调能力,森林防火保障
11611,崇信县人民医院,崇信县人民医院放射科机房防辐射防护门项目,协调能力,公共医疗设施
11612,江苏省国家税务局,江苏省国家税务局服务器设备采购项目二,提取能力,税务信息化建设
11613,合肥供水集团有限公司,合肥供水工程沟槽式管接件合格供应商定点单位,协调能力,公用事业服务
11614,南京森林警察学院,多业务网关合同书,协调能力,高等教育设施
11615,天津地质矿产研究所,中央单位批量集中采购简易合同,提取能力,地质矿产研究
11616,崇信县财政局,崇信县惠农服务大厅门牌建设项目,协调能力,惠农服务设施
11617,安徽警官职业学院,安徽警官职业学院学生公寓加固工程第4包,协调能力,职业教育设施
11618,安徽省基础测绘信息中心,安徽省基础测绘信息中心高清全景采集系统及液晶拼接系统第2包,提取能力,测绘信息采集
11619,中国人民银行,中国人民银行系统2015年第二批业务用复印机（第2包）采购合同,提取能力,央行设施采购
11620,天津地质矿产研究所,中央国家机关政府采购网上竞价合同,提取能力,地质矿产研究
11621,中国民用航空西南地区空中交通管理局,中央国家机关集中采购电子验收单,协调能力,民航空管设施
11622,南京森林警察学院,专业实训教学管理系统,协调能力,高等教育设施
11623,安徽大学,安徽大学化学仪器设备等采购第5包：中国移动100M互联网专线接入,协调能力,高等教育信息化
11624,淮北师范大学,淮北师范大学2015年多媒体教室设备采购,协调能力,高等教育设施
11625,甘肃省公安厅,甘肃省公安厅门户网站扩容升级配套软硬件设备项目,合规能力,公安信息化设施
11626,江苏省国家税务局,江苏国税风险应对模板改造项目合同,提取能力,税务风险管理
11627,交通运输部公路科学研究所,足尺环道数据采集分析系统软件开发合同,协调能力,公路科研设施
11628,合肥市重点工程建设管理局,合肥市义城监狱智能化工程,合规能力,监狱信息化建设
11629,中国儿童少年基金会,合同协议书,协调能力,公益慈善服务
