序号,采购人,合同名称,分类,理由
1000,国家税务总局,江苏省国税局机房运维专用投影仪项目合同,提取能力,增强税收征管能力
1001,中国国家博物馆,中央国家机关政府集中采购电子验收单,协调能力,组织文化公共服务
1002,中国测绘科学研究院,中国测绘科学研究院采购合同涉密信息系统分级保护建设项目,提取能力,采集测绘信息数据
1003,江苏省国家税务局,江苏省国税局信息化建设运维服务及升级改造项目合同,提取能力,增强税收征管能力
1004,中国电子口岸数据中心,中央国家机关政府采购网上竞价合同,提取能力,增强海关数据采集
1005,中国国家博物馆,中国国家博物馆数字展厅-乾隆南巡图数字化展示设计制作合同,协调能力,组织文化公共服务
1006,湖北省自动化工程学校,中央国家机关政府集中采购电子验收单,协调能力,组织职业教育服务
1007,贺州市国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1008,贺州市国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1009,中国电子口岸数据中心,中央国家机关政府采购协议供货合同,提取能力,增强海关数据采集
1010,中国国家博物馆,中央国家机关政府集中采购电子验收单,协调能力,组织文化公共服务
1011,国家海洋环境监测中心,国家海洋环境监测中心单波束测深仪购销合同,协调能力,组织海洋环境监测
1012,中国电子口岸数据中心,采购合同,提取能力,增强海关数据采集
1013,中国科学院西安光学精密机械研究所,激光偏振测试仪,协调能力,组织科学研究
1014,宁波出入境检验检疫局检验检疫技术中心,仪器设备采购合同,合规能力,增强检验检疫能力
1015,中国国家博物馆,中央国家机关政府集中采购电子验收单,协调能力,组织文化公共服务
1016,中共儋州政法委员会,儋州市网格化管理信息化建设项目合同书,合规能力,增强社会治安管控
1017,国家税务总局,江苏省国税局多功能一体机项目合同,提取能力,增强税收征管能力
1018,贺州市国家税务局,物业服务合同书,提取能力,增强税收征管能力
1019,国家税务总局,江苏省国税局负载均衡项目合同,提取能力,增强税收征管能力
1020,广西壮族自治区国家税务局,税收票证印刷服务采购合同,提取能力,增强税收征管能力
1021,中国国家博物馆,中央国家机关政府采购集中采购电子验收单,协调能力,组织文化公共服务
1022,南京市国家税务局,南京市国税局多功能一体机采购合同,提取能力,增强税收征管能力
1023,北京市农业技术推广站,2015年北京市创新团队果类蔬菜团队本单位岗位专家项目经费采购项目,协调能力,组织农业技术推广
1024,无供应商,中华人民共和国临时身份证供货合同,合规能力,增强身份证管理能力
1025,吉林省松原市国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1026,吉林省松原市国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1027,吉林省松原市国家税务局,国税系统IT类产品协议供货合同,提取能力,增强税收征管能力
1028,江苏省国家税务局,江苏省国税局网上申报系统和公文处理系统运维项目,提取能力,增强税收征管能力
1029,四川省国家税务局,四川省国家税务局OracleLinux及RedHatLinux操作系统采购项目,提取能力,增强税收征管能力
1030,南京市国家税务局,南京市国税局A4激光打印机采购合同,提取能力,增强税收征管能力
1031,中国国家博物馆,中央国家机关政府集中采购电子验收单,协调能力,组织文化公共服务
1032,广河县财政局,广河县2015年度一事一议财政奖补项目追加所需水泥,协调能力,组织农村基础设施
1033,南京市国税局,南京市国税局台式机采购合同,提取能力,增强税收征管能力
1034,中国交响乐团,中央政府采购网上竞价采购合同,协调能力,组织文化公共服务
1035,中国国家博物馆,中央国家机关政府集中采购电子验收单,协调能力,组织文化公共服务
1036,吉林省松原市国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
