序号,采购人,合同名称,分类,理由
15200,庆阳市西峰区温泉初中,庆阳市西峰区温泉初中变压器增容及线路改线工程项目,协调能力,教育
15201,临夏州人民医院,临夏州人民医院迁建项目附属工程相关设备采购及安装项目第三包,协调能力,医疗
15202,庆阳市西峰区北街街道办事处,庆阳市西峰区北街街道办事处为社区购置办公设施项目,协调能力,基层治理
15203,中国科学院软件研究所,中国科学院软件研究所交换机采购项目,协调能力,科研
15204,中国国际电子商务中心,中央单位批量集中采购简易合同,协调能力,电子商务
15205,中国科学院西安光学精密机械研究所,MCP-PMT单工位转移制作系统,协调能力,科研
15206,中共临夏市委办公室,中共临夏市委办公室无纸化办公设备采购项目采购合同,协调能力,党委
15207,中国国际电子商务中心,中央单位批量集中采购简易合同,协调能力,电子商务
15208,酒泉市机关事务管理局,酒泉市机关事务管理局2016年度市政大厦、会展中心等周边园林绿化养护采购项目,协调能力,机关事务
15209,合肥市财政局,2015年市直单位办公设备集中采购---空调,协调能力,财政
15210,凉州区康宁乡人民政府,凉州区康宁乡龙泉村引进基础母牛项目,协调能力,农业
15211,合肥市第三人民医院,合肥市第三人民医院医疗设备采购第2包,协调能力,医疗
15212,中国科学院软件研究所,中国科学院软件研究所图形工作站采购项目,协调能力,科研
15213,甘肃省发展和改革委员会,《甘肃省循环经济总体规划》评估政府采购合同,协调能力,发改委
15214,庆阳市西峰区市政公用事业管理局,庆阳市西峰区市政公用事业管理局购置排水设施维修材料项目,协调能力,市政
15215,中国科学院山西煤炭化学研究所,粉煤气力输送系统,协调能力,科研
15216,国家新闻出版广电总局监管中心,互联网电视监管信息管理平台定制软件,合规能力,广电监管
15217,庆阳市西峰区人民法院,庆阳市西峰区人民法院为刑二厅购置安装标准数字化法庭设备项目,合规能力,法院
15218,中国国际电子商务中心,中央单位批量集中采购简易合同,协调能力,电子商务
15219,中国民航大学,采购合同,协调能力,教育
15220,北京泽岱招标代理有限责任公司,中国交响乐团2015年进口乐器采购合同,协调能力,文化
15221,中国科学院软件研究所,中国科学院软件研究所投影仪采购项目,协调能力,科研
15222,白银市平川区林业局,白银市平川区大环境绿化魏家地片区养护管理项目采购合同,协调能力,林业
15223,中国特种设备检测研究院,桥式双梁起重机,合规能力,特种设备检测
15224,平凉市安全生产监督管理局,平凉市安监局安全生产执法个体防护服采购项目,合规能力,安监
15225,庆阳市西峰区文化馆,庆阳市西峰区文化馆购置安装音乐舞蹈培训室设备项目,协调能力,文化
15226,庆阳市西峰区黄官寨实验学校,庆阳市西峰区黄官寨实验学校实施校车停车场及篮球场硬化工程项目,协调能力,教育
15227,庆阳市西峰区团结小学,庆阳市西峰区团结小学实施校园文化建设工程项目,协调能力,教育
15228,中华人民共和国福州海关,福州海关缉私局移动终端信号便携式采集设备采购项目合同,提取能力,海关
15229,中国科学院山西煤炭化学研究所,工业气化炉本体及两级料腿等设备采购,协调能力,科研
15230,北京中医药大学,北京中医药大学校园治安电动巡逻车采购项目,协调能力,教育
15231,中国国际电子商务中心,中央单位批量集中采购简易合同,协调能力,电子商务
15232,厦门市国家税务局,厦门市国家税务局网上申报、营改增系统,提取能力,税务
15233,庆阳市西峰区农经局,庆阳市西峰区农经局实施农村土地承包经营权登记颁证项目,协调能力,农业
15234,中国科学院软件研究所,中国科学院软件研究所图形工作站采购项目,协调能力,科研
15235,合肥市财政局,合肥市2016-2017年度定点加油服务,协调能力,财政
15236,国家海洋局,配备500吨级近岸海洋环境监测船建造合同,协调能力,海洋
15237,白银市城乡规划局,白银市地下管线普查探测和规划管理系统建设项目政府采购合同,协调能力,规划
15238,庆阳市西峰区市政公用事业管理局,庆阳市西峰区市政公用事业管理局购置西峰城区缺损路灯灯头项目,协调能力,市政
15239,白银市图书馆,白银市图书馆纸质中文普通图书采购项目,协调能力,文化
15240,庆阳市西峰区人民政府南街街道办事处,庆阳市西峰区人民政府南街街道办事处确定办公设施单价项目,协调能力,基层治理
15241,庆阳西峰民俗文化产业园区管理局,庆阳西峰民俗文化产业园民俗街工程,协调能力,文化
15242,合肥公交集团有限公司,合肥市城市公共交通智能化应用示范工程初步设计,协调能力,交通
15243,兰州理工大学,兰州理工大学教职工住宅楼（保障性住房）2#、3#地块彩色可视楼宇对讲系统及室内无线报警系统采购合同,协调能力,教育
15244,中国科学院软件研究所,中国科学院软件研究所计算机采购项目结果公告,协调能力,科研
15245,国家新闻出版广电总局监管中心,国家新闻出版广电总局监管中心监测前端设备备件（数字）第一包,合规能力,广电监管
15246,庆阳市西峰区董志镇野林初级中学,庆阳市西峰区董志镇野林初级中学实施地沟管道铺设工程项目,协调能力,教育
