序号,采购人,合同名称,分类,理由
10000,中国地质环境监测院,国家地下水监测工程（山东省部分）2015年度地下水监测站点土建工程三标段,协调能力,地质监测设施建设
10001,静宁县城区街道办事处,静宁县社区活动阵地建设及老年人日间照料中心所需电器设备及办公家具项目合同（包2）,协调能力,社区养老服务设施
10002,古浪县质监局,古浪县质监局办公房屋暖气管网改造和修缮采购项目合同,合规能力,质监设施维护
10003,国家税务总局,国家税务总局2015年第四季度国税系统PC机批量集中采购项目第II包便携式计算机Ⅱ-1、Ⅱ-2、Ⅱ-3、Ⅱ-4、Ⅱ-5子包协议,提取能力,税务信息化设施
10004,中国气象局气象探测中心,国家级装备保障能力建设项目-气象观测试验基地建设设备采购合同,协调能力,气象观测设备
10005,安徽省人民政府外事办公室,安徽省外办领事认证综合业务管理系统,协调能力,外事服务信息化
10006,中国科学院天津工业生物技术研究所,天津市建设工程设计合同,协调能力,生物科研设施设计
10007,涡阳县招投标管理委员会办公室,涡阳县2015-2016年度财政投入项目定点招标代理机构,协调能力,招投标代理服务
10008,合肥市公共资源交易监督管理局,合肥市公共资源交易监督管理局信息化系统建设第6包,协调能力,公共资源交易信息化
10009,中国科学院电子学研究所,图形工作站,协调能力,电子科研设施
10010,安徽省高级人民法院,安徽省高级人民法院法官、法警制服采购第2包：审判服及配饰,合规能力,法院服装采购
10011,安徽省文物考古研究所,通济渠安徽段调查勘探报告出版,协调能力,文物考古研究
10012,中国科学院天津工业生物技术研究所,天津市建设工程委托监理合同,协调能力,生物科研设施监理
10013,中国地质环境监测院,国家地下水监测工程（河南省部分）2015年度地下水监测站点土建工程第2标段,协调能力,地质监测设施建设
10014,中国地质环境监测院,国家地下水监测工程（山东省部分）2015年度地下水监测站点土建工程二标段,协调能力,地质监测设施建设
10015,安徽省畜牧技术推广总站,安徽省畜牧技术推广总站印刷,协调能力,畜牧技术推广服务
10016,交通运输部东海救助局,东海救助局平板电脑项目采购,协调能力,海上救助设备
10017,国家铁路局装备技术中心,国家铁路局装备技术中心制作铁路机车车辆驾驶证项目合同书,合规能力,铁路驾驶资质管理
10018,皖西学院,皖西学院2015年教学仪器采购第14包,协调能力,高等教育设施
10019,安徽工程大学,安徽工程大学教学设备采购第1包：外文数字资源,协调能力,高等教育数字资源
10020,安徽省人民政府参事室,编辑出版《郭因文存》,协调能力,文化出版服务
10021,中国科学院天津工业生物技术研究所,天津市建设工程施工合同,协调能力,生物科研设施施工
10022,黑龙江省测绘科学研究所,黑龙江省测绘科学研究所数码相机采购项目,协调能力,测绘科研设施
10023,交通运输部东海救助局,东海救助局投影幕布政府采购,协调能力,海上救助设施
10024,北京中医药大学,北京中医药大学安防摄像头升级等项目,协调能力,医学院校安防设施
10025,宁县交通运输局,宁县交通运输局欧美杨树苗采购项目合同,协调能力,交通公路绿化
10026,安徽工程技术学校,安徽工程技术学校食堂综合楼设备采购,协调能力,职业教育设施
10027,安徽省未成年人强制隔离戒毒所,安徽省未成年人强制隔离戒毒所教育改造设备采购第2包,合规能力,戒毒所教育设施
10028,庆阳市妇幼保健院,庆阳市妇幼保健院彩超探头采购项目,协调能力,妇幼保健设备
10029,滁州学院,滁州学院2015年振兴计划教学设备采购第4包机械设计制造及其自动化专业新专业建设,协调能力,高等教育设施
10030,北京中医药大学,北京中医药大学新校区教师办公家具购置II期项目（补充采购）,协调能力,医学院校设施
10031,中华人民共和国二连海关,二连海关公路口岸货运入境检查设备用房建设项目监理合同,提取能力,海关设施建设监理
10032,中国地质环境监测院,国家地下水监测工程（河南省部分）2015年度地下水监测站点土建工程第1标段,协调能力,地质监测设施建设
10033,无供应商,《&ldquo;智慧交通云平台&rdquo;建设》项目,协调能力,交通信息化建设
10034,安徽省环境科学研究院,安徽省环境监测科研办公用房功能改造工程监理,协调能力,环境科研设施监理
10035,无供应商,贵州省体育彩票管理中心网点促销品采购项目合同,协调能力,体育彩票服务
10036,安徽省公安厅,省公安厅公务车辆调度管理系统,合规能力,公安车辆管理系统
10037,无供应商,网点宣传品采购合同,协调能力,宣传服务采购
10038,泾川高速公路收费管理所,泾川高速公路收费管理所冬季用煤采购项目采购合同,协调能力,交通后勤保障
10039,安徽省汽车工业学校,安徽省汽车工业学校心理咨询室专用设备,协调能力,职业教育心理设施
10040,甘肃省食品检验研究院,甘肃省食品检验研究院2015年食品检验能力提升设备政府采购项目,合规能力,食品检验设备
10041,安徽省体育局,全省青少年体育比赛竞赛组织及省级社团组织赛事服务第22包,协调能力,青少年体育服务
10042,安徽交通职业技术学院,安徽交通职业技术学院信息楼会议室家具及设备采购第2包,协调能力,职业教育设施
10043,安徽省图书馆,安徽省图书馆新古籍采购,协调能力,公共图书馆服务
