序号,采购人,合同名称,分类,理由
7000,徽县蔬菜技术推广站,2015年高原夏菜蔬菜标准园建设项目第一包,协调能力,组织农业技术服务
7001,玉门市公安局,玉门市公安局交警大队智能管控项目,合规能力,增强公安交通管控能力
7002,国家海洋局第二海洋研究所,快速多参数水质剖面仪采购合同,协调能力,支持海洋科研
7003,水利部交通运输部国家能源局南京水利科学研究院,水电站机电设备检测仪器购销合同,协调能力,支持水利科研
7004,中国土地勘测规划院,2015年全国土地利用变更调查监测与核查一类监测区,协调能力,组织土地测绘服务
7005,国家海洋局第二海洋研究所,地物光谱仪合同,协调能力,支持海洋科研
7006,正宁县农牧局,农村土地确权登记颁证技术服务项目合同,协调能力,组织农村土地服务
7007,中国科学院西安光学精密机械研究所,多物理场耦合有限元分析设计软件,协调能力,支持科研能力
7008,水利部水利信息中心,水利部机关HP服务器及存储设备维护,协调能力,支持水利信息化
7009,滁州市国家税务局,101会议室音响设备采购合同,提取能力,支持税务办公设施
7010,中国科学院兰州化学物理研究所,高温原位材料结构分析系统,协调能力,支持科研能力
7011,中国科学院动物研究所,购小动物行为记录分析系统合同,协调能力,支持科研机构
7012,水利部长江勘测技术研究所,多模式声纳综合扫描系统设备购置,协调能力,支持水利勘测
7013,中国科学院西安光学精密机械研究所,多通道皮秒事件计时系统,协调能力,支持科研能力
7014,水利部交通运输部国家能源局南京水利科学研究院,中央国家机关政府集中采购电子验收单,协调能力,支持水利科研
7015,中国残疾人联合会,县级残联流动服务车车载设备项目听力残疾检测设备项目采购合同,协调能力,提供残疾人公共服务
7016,肃州区国家现代农业示范区管理办公室,酒泉市肃州区2013年旱涝保收田间工程,协调能力,组织农业基础设施
7017,国家海洋局第二海洋研究所,电视抓斗维修维护及海上服务合同,协调能力,支持海洋科研
7018,中国科学技术馆,2015年科普大篷车采购项目江铃3包,协调能力,提供科普公共文化服务
7019,中国科学院上海天文台,无线网络扩容,协调能力,支持科研信息化
7020,民乐县林业局,2014年林业站建设木材检查站建设特殊林木培育基地建设项目一包,协调能力,组织林业服务
7021,国家海洋局第二海洋研究所,METS传感器合同,协调能力,支持海洋科研
7022,水利部水利信息中心,水利部机关IBMx86服务器设备维护,协调能力,支持水利信息化
7023,漳县教育体育局,2014年全面改善农村义务教育薄弱学校基本办学条件教学设施,协调能力,提供公共教育服务
7024,山丹县大佛寺文化旅游产业园区管理办公室,蓄水池环保厕所修建项目二包,协调能力,组织公共文化旅游设施
7025,庆阳市兽医局,庆阳市兽医局所需专业设备,协调能力,组织畜牧服务
7026,皋兰县教育局,全县新建改扩建公办幼儿园配备教具及办公生活设备项目,协调能力,提供公共教育服务
7027,中国科学院武汉植物园,离子溅射镀膜仪供货合同,协调能力,支持科研机构
7028,无供应商,贵阳创天公交车体网络联合广告有限公司广告合同,其他,无明确政府机构
7029,中国科学院西安光学精密机械研究所,量子光表征系统,协调能力,支持科研能力
7030,定西市委组织部,全市市管干部档案室设备采购项目政府采购购销合同,协调能力,支持组织管理
7031,四川省绵阳等市县区气象局,四川省气象局能见度仪设备采购项目合同协议书,协调能力,组织气象服务
7032,辽宁省国家税务局,涉税舆情监控管理服务项目合同,提取能力,增强税务舆情监控能力
7033,中国残疾人联合会,县级残联流动服务车车载设备项目视力残疾检测设备项目采购合同,协调能力,提供残疾人公共服务
7034,长江水利委员会长江科学院,河势控制与防洪影响研究实体模型建设项目模型土建安装工程,协调能力,支持水利科研
7035,庆阳第二中学,实施体育场建设工程政府采购合同,协调能力,提供公共教育服务
7036,敦煌市发展和改革局,中德新能源示范城市综合能源规划编制采购项目,协调能力,支持发展规划服务
7037,国家海洋局南海工程勘察中心,温盐深仪,协调能力,组织海洋调查服务
7038,陇西县市政管理所,陇西县城建局管网疏通车,协调能力,组织城市市政服务
7039,中国科学院动物研究所,购大容量高速冷冻离心机合同,协调能力,支持科研机构
7040,中国科学院武汉植物园,百万分之一天平供货合同,协调能力,支持科研机构
7041,国家海洋局宁德海洋环境监测中心站,监测仪器采购项目网上竞价合同,协调能力,组织海洋监测服务
7042,中国科学院上海天文台,图形工作站,协调能力,支持科研信息化
7043,庆阳市西峰区卫生和计划生育局,为基层医疗卫生单位购置医疗设备项目政府采购购销合同,协调能力,提供公共卫生服务
7044,渭源县人民医院,2015年冬季取暖用煤供货合同,协调能力,提供公共医疗服务
7045,中国检验检疫科学研究院,肌电图仪采购合同,合规能力,支持检验检疫科研
7046,庆阳市西峰区农牧局,巩固退耕还林太阳能热水器项目政府采购购销合同二包,协调能力,组织农牧生态服务
7047,山东黄河河务局山东黄河信息中心,通信设备施工项目合同,协调能力,支持水利信息化
7048,中华人民共和国惠东海关,中央国家机关政府采购网上竞价合同,提取能力,支持海关运营
7049,国家海洋局北海海洋环境监测中心站,货物采购合同极谱仪,协调能力,组织海洋监测服务
7050,金昌市金川区林业局,薰衣草苗采购项目,协调能力,组织林业服务
7051,无供应商,LED广告发布合同,其他,无明确政府机构
7052,中国科学院动物研究所,购鼠类及其寄生虫多样性精准分析系统合同,协调能力,支持科研机构
7053,国家海洋局天津海水淡化与综合利用研究所,生物粘泥在线监测仪技术协议,协调能力,支持海洋科技研发
7054,辽宁省国家税务局,2015年批量集中采购空调机项目合同,提取能力,支持税务基础设施
7055,故宫博物院,太和门平台制安工程施工合同,协调能力,支持公共文化设施
7056,中国科学院重庆绿色智能技术研究院,科研台式电脑采购项目,协调能力,支持科研运营
7057,庆阳市西峰区人民政府办公室,购置安装网络舆情信息系统政府采购购销合同,协调能力,支持政务管理
7058,国家新闻出版广电总局厦门监测台,特定广播节目网上传播监管系统,协调能力,组织广播电视监测服务
7059,庆阳市庆化学校,办公桌椅艺教桌椅设备,协调能力,提供公共教育服务
7060,庆阳西峰民俗文化产业园区管理局,整体规划环境影响评价报告书及相关服务项目政府采购合同,协调能力,提供公共文化服务
7061,黄河水利委员会移民局,黄河下游河道与滩区治理研究,协调能力,支持水利科研
7062,中国科学院广州生物医药与健康研究院,重大传染病疫苗研发平台实验室设备二招标项目合同,协调能力,支持公共卫生科研
7063,中国科学院重庆绿色智能技术研究院,国内采购合同,协调能力,支持科研机构
7064,国家海洋局第二海洋研究所,工业品购销合同,协调能力,支持海洋科研
7065,渭源县旅游局,渭河源景区大型户外宣传屏采购合同,协调能力,支持公共旅游服务
7066,中华人民共和国红河出入境检验检疫局,产品购销合同,合规能力,支持检验检疫能力
7067,敦煌市发展和改革局,敦煌十三五发展战略研究采购项目,协调能力,支持发展规划服务
7068,无供应商,六盘水市公安局监控中心设备一批,其他,无明确政府机构
7069,中国科学院西安光学精密机械研究所,超声波扫描仪,协调能力,支持科研能力
7070,陇西县教育体育局,2015年国家薄改项目教学设备采购项目,协调能力,提供公共教育服务
7071,国家海洋局南通海洋环境监测中心站,多参数水质生态在线监测系统等供货合同,协调能力,组织海洋监测服务
7072,玉门市水务局,玉门2014年小型水利补助资金项目2包,协调能力,组织水利服务
7073,西和县人民检察院,电子触摸屏采购项目,合规能力,增强检察院办公能力
7074,水利部交通运输部国家能源局南京水利科学研究院,当涂试验基地一期道路面层及管网工程施工合同,协调能力,支持水利科研设施
7075,中国科学院西安光学精密机械研究所,高精度原子标准时钟,协调能力,支持科研能力
7076,皋兰县教育局,2015年标准化学校建设设备配备项目,协调能力,提供公共教育服务
7077,中国国土资源航空物探遥感中心,移动硬盘采购合同,协调能力,支持国土资源调查
7078,民乐县城市绿化大队,2015年民火公路义务植树苗木采购项目四包,协调能力,组织城市绿化服务
7079,华池县妇幼保健站,医疗设备采购项目,协调能力,提供公共医疗服务
7080,中国科学技术馆,2015年科普大篷车采购项目鸿运汽车2包,协调能力,提供科普公共文化服务
7081,酒泉市黄粮墩林场,太阳能路灯采购项目,协调能力,组织林业设施
7082,庆阳市西峰区人民检察院,购置远程提审同录设备项目政府采购购销合同,合规能力,增强检察院办案能力
7083,辽宁省国家税务局,机关大门和挡车器项目合同,提取能力,支持税务基础设施
7084,庆阳市委保密办,监控平台升级及公文销毁中心碎纸机维修项目,协调能力,支持保密管理
7085,水利部交通运输部国家能源局南京水利科学研究院,钢结构试验平台产品购销合同等,协调能力,支持水利科研
7086,积石山县教育局,学生课桌椅和学生用床采购项目采购合同,协调能力,提供公共教育服务
7087,甘肃省农牧厅,2014年度退牧还草工程所需围栏材料和牧草种子,协调能力,组织畜牧生态服务
7088,国家海洋局南海工程勘察中心,实验室盐度计,协调能力,组织海洋调查服务
7089,中国科学技术馆,投影机合同第一包,协调能力,支持科普设施
7090,中国国土资源航空物探遥感中心,应用软件采购合同,协调能力,支持国土资源调查
7091,国家海洋局南海海洋工程勘察与环境研究院,货物采购合同,协调能力,支持海洋勘察服务
7092,渭源县会川中学,学生宿舍楼配套设备供货合同,协调能力,提供公共教育服务
7093,庆阳市西峰区北街办事处,北大街社区办公活动场所维修改造项目施工合同,协调能力,组织社区服务
7094,中国科学技术馆,2015年中国科学技术馆物业服务合同,协调能力,支持科普设施运营
7095,中科院上海应用物理研究所,非标产品加工合同500MHz多cell腔低温恒温器,协调能力,支持科研能力
7096,皋兰县教育局,2015年标准化学校建设设备配备项目,协调能力,提供公共教育服务
7097,商务部产业安全与进出口管制局,产业安全数据库数据整理和分析应用项目合同,协调能力,支持产业安全管理
7098,中国银行业监督管理委员会怀化监管分局,视频会议高清改造项目采购合同,提取能力,支持金融监管能力
7099,中国科学院上海应用物理研究所,移动工作站图形工作站,协调能力,支持科研信息化
7100,水利部交通运输部国家能源局南京水利科学研究院,超低本底液闪能谱气相色谱系统技术合同书,协调能力,支持水利科研
7101,国家海洋局南通海洋环境监测中心站,批量集中采购合同台式计算机,协调能力,支持海洋监测服务
7102,国家海洋局宁德海洋环境监测中心站,单反照相机采购项目网上竞价合同,协调能力,组织海洋监测服务
7103,中国土地勘测规划院,2015年全国土地利用变更调查监测与核查三类监测区资源三号实践九号卫星数据采集,协调能力,组织土地测绘服务
7104,中国科学技术馆,2015年科普大篷车车载展品采购项目安徽省科技馆,协调能力,提供科普公共文化服务
7105,中国科学技术馆,心理学展1标段合同,协调能力,提供科普公共文化服务
7106,国家海洋局第三海洋研究所,高纯锗探测器等,协调能力,支持海洋科研
7107,中国科学院上海应用物理研究所,C波段加速结构加工,协调能力,支持科研能力
7108,定西市广播电视台,演播室升级改造设备数字高清移动演播系统设备购置项目购销合同,协调能力,提供公共广播电视服务
7109,庆阳市西峰区教育体育局,购置中街幼儿园办公家具项目政府采购购销合同,协调能力,提供公共教育服务
7110,西峰区北街办事处,长庆北路社区办公活动场所维修改造项目政府采购合同,协调能力,组织社区服务
7111,无供应商,贵州省体育彩票管理中心宣传媒体采购项目,其他,无明确政府机构
7112,中国科学院科技政策与管理科学研究所,平板电脑,协调能力,支持科研运营
7113,扬子江工程咨询有限公司湖北,MTS815型岩石三轴试验系统升级改造,协调能力,支持水利工程咨询
7114,连云港市赣榆区国税局,政府采购合同书,提取能力,支持税务运营
7115,故宫博物院,日常电气设施维修整治及改造项目合同,协调能力,支持公共文化设施
7116,肃州区银达镇人民政府,集镇主干道路灯安装项目,协调能力,组织乡镇公共设施
7117,中国科学院成都生物研究所,2015年修购专项仪器采购项目,协调能力,支持生物科研
7118,国家海洋局第二海洋研究所,2015至2016年出海仪器设备保险合同,协调能力,支持海洋科研
7119,商务部,法律服务合同,协调能力,支持商务管理
7120,中国科学院武汉植物园,SpeedMillPlus快速匀浆器供货合同,协调能力,支持科研机构
7121,定西市残疾人联合会,社区康复器材配发项目购销合同,协调能力,提供残疾人公共服务
7122,中国科学院重庆绿色智能技术研究院,便携式计算机采购项目,协调能力,支持科研运营
7123,中国劳动关系学院,网络设备采购,协调能力,提供教育公共服务
7124,中国科学技术馆,4D特效动画电影熊猫与蓝田人电影节目委托制作合同,协调能力,提供科普公共文化服务
7125,无供应商,贵州省体彩管理中心电台媒体广告发布合同,其他,无明确政府机构
7126,青岛海洋地质研究所,短周期海底地震仪,协调能力,支持海洋地质科研
7127,阿克塞县林业局,2015年春季种植乔灌花木采购项目,协调能力,组织林业服务
7128,中国人民银行,低端存储20T采购项目采购合同,提取能力,支持金融监管能力
7129,辽宁省沈阳市国家税务局,系统定点印刷服务项目合同,提取能力,支持税务运营
7130,中国劳动关系学院,涿州校区物业服务采购项目,协调能力,提供教育公共服务
7131,通渭县人民法院,基础法庭电供暖设备外保温设备及变压器设备采购安装项目第三包,合规能力,支持司法设施
7132,中国科学院西安光学精密机械研究所,飞行时间质谱仪,协调能力,支持科研能力
7133,国家税务总局,2015年第四季度国税系统打印机复印机批量集中采购询价项目,提取能力,支持税务运营
7134,中国残疾人联合会信息中心,采购绿盟远程安全评估系统,协调能力,支持残疾人服务信息化
7135,定西市广播电视台,演播室升级改造设备数字高清移动演播系统设备购置项目购销合同,协调能力,提供公共广播电视服务
7136,中国国土资源航空物探遥感中心,图形工作站采购合同,协调能力,支持国土资源调查
7137,长江水利委员会长江科学院,河工模型试验基础研究专用量测设备购置,协调能力,支持水利科研
7138,中国科学院动物研究所,购细胞分析系统合同,协调能力,支持科研机构
7139,金川区农牧局,金川现代循环农业示范园日光温室后墙改造采用新型PVC涂塑布采购项目,协调能力,组织农业服务
7140,中华人民共和国大铲湾海关,中央单位批量集中采购简易合同,提取能力,支持海关运营
7141,中国土地勘测规划院,中国土地勘测规划院外协项目合同书遥感监测任务7分包,协调能力,组织土地测绘服务
7142,定西市档案局,三西建设30年定西成就展项目政府采购购销合同,协调能力,支持档案文化服务
7143,中国科学院重庆绿色智能技术研究院,进口货物购销协议书,协调能力,支持科研机构
7144,玉门市地方税务局,办公楼维修改造项目,提取能力,支持税务基础设施
7145,中国土地勘测规划院,2015年全国土地利用变更调查监测与核查二类监测区资源三号实践九号卫星数据采集,协调能力,组织土地测绘服务
7146,庆阳市正宁县教育体育局,2014年薄弱学校改造体育音乐卫生器材项目采购合同,协调能力,提供公共教育服务
7147,漳县工商局,漳县工商行政管理局购置电动面包车项目,合规能力,支持工商监管
7148,故宫博物院,保和殿等处塑木台阶维修及防滑设施维护工程合同,协调能力,支持公共文化设施
7149,国家海洋局第二海洋研究所,销售合同,协调能力,支持海洋科研
7150,故宫博物院,园林绿化养护工程施工合同,协调能力,支持公共文化设施
7151,无供应商,公交车体广告发布合同,其他,无明确政府机构
7152,中国土地勘测规划院,2015年全国土地利用变更调查监测与核查二类监测区遥感五号等卫星数据采集,协调能力,组织土地测绘服务
7153,水利部交通运输部国家能源局南京水利科学研究院,非接触式高速水流流速测量系统产品购销合同等,协调能力,支持水利科研
7154,酒泉市公安局交通警察支队,2015年冬季锅炉供暖用煤采购项目,合规能力,支持公安设施
